timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:49:00.000Z";"2023-08-31T21:10:00.000Z";7.2250893157;7.2604522389;6.8572179561;6.9207890634;95816874.26;2398805631.02;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:22:00.000Z";"2023-08-30T18:35:00.000Z";7.4368176315;7.4501421994;7.1938723199;7.2249546579;88464460.75;2504232069.29;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:47:00.000Z";"2023-08-29T10:40:00.000Z";7.2650073958;7.5014636037;7.1202525505;7.4363255878;109417764.22;2577495070.42;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T23:28:00.000Z";"2023-08-28T02:58:00.000Z";7.1790724543;7.2721211359;7.0857198339;7.2652038929;76507547.86;2518182803.92;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T15:12:00.000Z";"2023-08-27T02:57:00.000Z";7.1550547181;7.2049475988;7.1038878422;7.1789998797;58243171.95;2488303743.82;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T03:56:00.000Z";"2023-08-26T18:42:00.000Z";7.2443134144;7.2524433373;7.1440823596;7.1551137558;68124416.52;2480024605.71;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T12:13:00.000Z";"2023-08-25T04:53:00.000Z";7.2057189981;7.2616452064;7.0666200534;7.2442995613;87429486.09;2510937180.91;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:45:00.000Z";"2023-08-24T20:58:00.000Z";7.4259351789;7.4453361075;7.1116562158;7.2045291291;87675801.76;2497152403.51;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T17:19:00.000Z";"2023-08-23T13:14:00.000Z";7.3907963224;7.519510293;7.3142751791;7.4258462798;85522932.62;2573862851.19;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T01:24:00.000Z";"2023-08-22T18:13:00.000Z";7.5464378728;7.5515890582;7.18673675;7.3899420513;102576253.86;2561418133.58;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T00:07:00.000Z";"2023-08-21T16:46:00.000Z";7.8644398672;7.8746168774;7.4779257997;7.5466219211;102276281.87;2615724738;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T12:49:00.000Z";"2023-08-20T06:01:00.000Z";7.7070536638;7.8838772315;7.6975409259;7.8655004516;91020274.34;2726250807.73;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T23:41:00.000Z";"2023-08-19T07:16:00.000Z";7.5779919262;7.721293537;7.5166547654;7.7068256312;80794346.42;2671252736.1;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T02:18:00.000Z";"2023-08-18T00:04:00.000Z";7.4241047391;7.679938061;7.3926694962;7.5771324777;133937872.84;2626299962.04;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T12:22:00.000Z";"2023-08-17T21:46:00.000Z";7.7924907551;8.183787536;7.2964952414;7.4270719415;234340479.7;2574287676.18;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:24:00.000Z";"2023-08-16T21:16:00.000Z";8.1040353882;8.1130038662;7.6496960834;7.7922542361;87664703.14;2700863032.91;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T02:44:00.000Z";"2023-08-15T19:44:00.000Z";8.5097778793;8.538349496;8.0064000132;8.104028859;92269391.42;2808926826.55;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T14:54:00.000Z";"2023-08-14T02:22:00.000Z";8.3734209322;8.5574277505;8.3403492048;8.5094318474;72618666.86;2949443025.26;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T20:05:00.000Z";"2023-08-13T22:43:00.000Z";8.4160770932;8.4966596828;8.3604149172;8.3739776735;65607747.04;2902493431.5;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T22:22:00.000Z";"2023-08-12T03:46:00.000Z";8.3431554125;8.4300612856;8.3373265896;8.416136464;58809054.14;2917106034.64;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T01:18:00.000Z";"2023-08-11T16:47:00.000Z";8.4091565956;8.4467684304;8.3268524368;8.3432215732;66460329.09;2891833099.89;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T14:04:00.000Z";"2023-08-10T23:22:00.000Z";8.536751689;8.5487983159;8.40507822;8.4090739621;73861280.28;2914658110.11;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T13:02:00.000Z";"2023-08-09T21:16:00.000Z";8.5261879589;8.65918992;8.4514133007;8.537759151;73080616.32;2959261514.87;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T21:26:00.000Z";"2023-08-08T14:02:00.000Z";8.4837959482;8.6359430712;8.4552744263;8.5260935002;78858385.89;2955218098.91;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T03:05:00.000Z";"2023-08-07T16:19:00.000Z";8.4757308295;8.5660968963;8.3000773224;8.4839820233;81991738.23;2940621895.09;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T06:10:00.000Z";"2023-08-06T14:17:00.000Z";8.5027230022;8.5685010759;8.451232524;8.4758529749;60570514.95;2937804296.28;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T22:44:00.000Z";"2023-08-05T04:52:00.000Z";8.4822132686;8.5294730412;8.3692638138;8.5028879626;60562554.33;2947174857.95;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T13:52:00.000Z";"2023-08-04T20:52:00.000Z";8.6203531388;8.6648053175;8.3912535303;8.4826654554;75915243.33;2940165561.21;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T15:02:00.000Z";"2023-08-03T22:32:00.000Z";8.7132214617;8.7630981144;8.5991931707;8.6206568447;73442967.57;2987994575.89;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T01:44:00.000Z";"2023-08-02T23:52:00.000Z";8.975451006;9.0103862739;8.7080450371;8.7133510129;76537656.33;3020123180.09;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T23:58:00.000Z";"2023-08-01T02:13:00.000Z";8.8599489517;8.975648069;8.6678857076;8.9749013364;80501683.49;3110778795.09;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T02:37:00.000Z";"2023-07-31T20:07:00.000Z";9.0022944331;9.1048528898;8.7982721937;8.8596042362;63821323.4;3070815818.23;"2023-07-31T23:59:59.999Z"
"2023-07-30T00:00:00.000Z";"2023-07-30T23:59:59.999Z";"2023-07-30T05:43:00.000Z";"2023-07-30T20:14:00.000Z";9.0777927719;9.0927318059;8.8836298372;9.0023887361;58089725.06;3120306166.7;"2023-07-30T23:59:59.999Z"
"2023-07-29T00:00:00.000Z";"2023-07-29T23:59:59.999Z";"2023-07-29T20:26:00.000Z";"2023-07-29T12:02:00.000Z";9.0346148763;9.0888958896;8.9896260804;9.0781638194;42418038.91;3146570469.06;"2023-07-29T23:59:59.999Z"
"2023-07-28T00:00:00.000Z";"2023-07-28T23:59:59.999Z";"2023-07-28T15:19:00.000Z";"2023-07-28T05:56:00.000Z";8.9106352247;9.0587198635;8.8650714773;9.0353768636;51986991.44;3131740138.34;"2023-07-28T23:59:59.999Z"
"2023-07-27T00:00:00.000Z";"2023-07-27T23:59:59.999Z";"2023-07-27T10:04:00.000Z";"2023-07-27T18:41:00.000Z";8.9866388922;9.0914962643;8.8709525052;8.9108007519;55825435.09;3088560975.47;"2023-07-27T23:59:59.999Z"
"2023-07-26T00:00:00.000Z";"2023-07-26T23:59:59.999Z";"2023-07-26T20:43:00.000Z";"2023-07-26T09:47:00.000Z";8.9578879226;9.0284364608;8.8336064655;8.9862446344;72081341.05;3114710480.76;"2023-07-26T23:59:59.999Z"
"2023-07-25T00:00:00.000Z";"2023-07-25T23:59:59.999Z";"2023-07-25T14:15:00.000Z";"2023-07-25T08:34:00.000Z";9.0110998556;9.0546981458;8.9324970109;8.9577724711;55885345.2;3104841781.54;"2023-07-25T23:59:59.999Z"
"2023-07-24T00:00:00.000Z";"2023-07-24T23:59:59.999Z";"2023-07-24T00:52:00.000Z";"2023-07-24T17:46:00.000Z";9.2866992119;9.2869174729;8.927136685;9.011806986;77388926.85;3123570613.94;"2023-07-24T23:59:59.999Z"
"2023-07-23T00:00:00.000Z";"2023-07-23T23:59:59.999Z";"2023-07-23T19:06:00.000Z";"2023-07-23T00:53:00.000Z";9.2560167117;9.3589089111;9.2443513897;9.2873654212;53405877.74;3219081562.19;"2023-07-23T23:59:59.999Z"
"2023-07-22T00:00:00.000Z";"2023-07-22T23:59:59.999Z";"2023-07-22T04:39:00.000Z";"2023-07-22T23:37:00.000Z";9.4303785981;9.5606220655;9.2107766864;9.254434523;67569183.82;3207667426.73;"2023-07-22T23:59:59.999Z"
"2023-07-21T00:00:00.000Z";"2023-07-21T23:59:59.999Z";"2023-07-21T04:06:00.000Z";"2023-07-21T00:40:00.000Z";9.3570608997;9.5283268649;9.3211437211;9.4308293411;68912023.19;3268807403.53;"2023-07-21T23:59:59.999Z"
"2023-07-20T00:00:00.000Z";"2023-07-20T23:59:59.999Z";"2023-07-20T23:59:00.000Z";"2023-07-20T15:04:00.000Z";9.1872897121;9.3559476373;9.147114997;9.3559476373;88268415.43;3242852754.28;"2023-07-20T23:59:59.999Z"
"2023-07-19T00:00:00.000Z";"2023-07-19T23:59:59.999Z";"2023-07-19T01:19:00.000Z";"2023-07-19T21:22:00.000Z";9.2851201634;9.3999182345;9.1434537556;9.187537206;69861055.86;3184480235.29;"2023-07-19T23:59:59.999Z"
"2023-07-18T00:00:00.000Z";"2023-07-18T23:59:59.999Z";"2023-07-18T02:08:00.000Z";"2023-07-18T17:37:00.000Z";9.443641759;9.5110210958;9.1606290621;9.2839790012;71864741.15;3217907799.6;"2023-07-18T23:59:59.999Z"
"2023-07-17T00:00:00.000Z";"2023-07-17T23:59:59.999Z";"2023-07-17T08:38:00.000Z";"2023-07-17T18:52:00.000Z";9.3916381686;9.5966494924;9.1927407454;9.4438386848;91256403.57;3273316555.11;"2023-07-17T23:59:59.999Z"
"2023-07-16T00:00:00.000Z";"2023-07-16T23:59:59.999Z";"2023-07-16T00:16:00.000Z";"2023-07-16T23:37:00.000Z";9.7048513007;9.7213224209;9.3656837495;9.3910992327;70554628.58;3255036602.71;"2023-07-16T23:59:59.999Z"
"2023-07-15T00:00:00.000Z";"2023-07-15T23:59:59.999Z";"2023-07-15T10:22:00.000Z";"2023-07-15T04:11:00.000Z";9.7992637557;9.9762806701;9.6595662378;9.7050901091;66626519.45;3363868569.07;"2023-07-15T23:59:59.999Z"
"2023-07-14T00:00:00.000Z";"2023-07-14T23:59:59.999Z";"2023-07-14T04:34:00.000Z";"2023-07-14T20:35:00.000Z";9.8992114015;10.2747500359;9.4559923429;9.7997431474;154099416.79;3396676134.67;"2023-07-14T23:59:59.999Z"
"2023-07-13T00:00:00.000Z";"2023-07-13T23:59:59.999Z";"2023-07-13T23:59:00.000Z";"2023-07-13T04:17:00.000Z";9.0716766458;9.9004769069;8.9555619502;9.9004769069;133730444.8;3431591331.08;"2023-07-13T23:59:59.999Z"
"2023-07-12T00:00:00.000Z";"2023-07-12T23:59:59.999Z";"2023-07-12T07:50:00.000Z";"2023-07-12T19:38:00.000Z";9.2031076651;9.2827499246;8.9904965113;9.0711442418;62107327.26;3144137422.47;"2023-07-12T23:59:59.999Z"
"2023-07-11T00:00:00.000Z";"2023-07-11T23:59:59.999Z";"2023-07-11T07:17:00.000Z";"2023-07-11T19:16:00.000Z";9.2510146388;9.356282578;9.1655849379;9.2031632816;54694535.25;3189896368.89;"2023-07-11T23:59:59.999Z"
"2023-07-10T00:00:00.000Z";"2023-07-10T23:59:59.999Z";"2023-07-10T00:00:00.000Z";"2023-07-10T22:25:00.000Z";9.4332749475;9.4332749475;9.2006326253;9.2506071919;76851454.95;3206340840.48;"2023-07-10T23:59:59.999Z"
"2023-07-09T00:00:00.000Z";"2023-07-09T23:59:59.999Z";"2023-07-09T18:43:00.000Z";"2023-07-09T00:08:00.000Z";9.2112306951;9.6010746661;9.1964920096;9.4332343851;62796179.51;3269641012.7;"2023-07-09T23:59:59.999Z"
"2023-07-08T00:00:00.000Z";"2023-07-08T23:59:59.999Z";"2023-07-08T09:19:00.000Z";"2023-07-08T19:34:00.000Z";9.1716473947;9.2928192451;9.1058913407;9.2110465178;50946131.83;3192628767.05;"2023-07-08T23:59:59.999Z"
"2023-07-07T00:00:00.000Z";"2023-07-07T23:59:59.999Z";"2023-07-07T14:05:00.000Z";"2023-07-07T22:27:00.000Z";9.2072749574;9.3528509015;9.1260512658;9.1723858746;60827526.62;3179228652.16;"2023-07-07T23:59:59.999Z"
"2023-07-06T00:00:00.000Z";"2023-07-06T23:59:59.999Z";"2023-07-06T09:33:00.000Z";"2023-07-06T14:40:00.000Z";9.4070630277;9.6360237158;9.1177074514;9.2080878807;84914939.6;3191603277.74;"2023-07-06T23:59:59.999Z"
"2023-07-05T00:00:00.000Z";"2023-07-05T23:59:59.999Z";"2023-07-05T05:16:00.000Z";"2023-07-05T15:42:00.000Z";9.6899370989;9.873757075;9.279485575;9.4081171856;86562750.53;3260935173.08;"2023-07-05T23:59:59.999Z"
"2023-07-04T00:00:00.000Z";"2023-07-04T23:59:59.999Z";"2023-07-04T00:22:00.000Z";"2023-07-04T19:16:00.000Z";9.9330698409;9.9531707178;9.6555532123;9.6893810109;71608555.31;3358423659.09;"2023-07-04T23:59:59.999Z"
"2023-07-03T00:00:00.000Z";"2023-07-03T23:59:59.999Z";"2023-07-03T19:29:00.000Z";"2023-07-03T00:43:00.000Z";9.5883946282;10.091978452;9.5731796316;9.9332468604;89522350.07;3442949681.73;"2023-07-03T23:59:59.999Z"
"2023-07-02T00:00:00.000Z";"2023-07-02T23:59:59.999Z";"2023-07-02T23:59:00.000Z";"2023-07-02T04:05:00.000Z";9.5625980231;9.588062703;9.3670588378;9.588062703;66823504.2;3323305853.12;"2023-07-02T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-01T23:59:59.999Z";"2023-07-01T20:47:00.000Z";"2023-07-01T04:32:00.000Z";9.2884928741;9.5665133712;9.1834512306;9.5623761321;75249771.69;3314402664.45;"2023-07-01T23:59:59.999Z"
"2023-06-30T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-30T13:04:00.000Z";"2023-06-30T13:49:00.000Z";8.9905442988;9.4252868854;8.856515893;9.2881737205;121764674.56;3219361725.76;"2023-06-30T23:59:59.999Z"
"2023-06-29T00:00:00.000Z";"2023-06-29T23:59:59.999Z";"2023-06-29T13:20:00.000Z";"2023-06-29T23:58:00.000Z";9.1359880728;9.4266859145;8.991517902;8.9920560432;75414422.43;3116724765.54;"2023-06-29T23:59:59.999Z"
"2023-06-28T00:00:00.000Z";"2023-06-28T23:59:59.999Z";"2023-06-28T00:02:00.000Z";"2023-06-28T19:43:00.000Z";9.4254097439;9.4272506943;8.9899722854;9.137045613;73980078.77;3166979410.39;"2023-06-28T23:59:59.999Z"
"2023-06-27T00:00:00.000Z";"2023-06-27T23:59:59.999Z";"2023-06-27T14:10:00.000Z";"2023-06-27T01:22:00.000Z";9.1892951852;9.4413132843;9.1809151292;9.424848494;65184356.62;3266734389.95;"2023-06-27T23:59:59.999Z"
"2023-06-26T00:00:00.000Z";"2023-06-26T23:59:59.999Z";"2023-06-26T14:01:00.000Z";"2023-06-26T22:02:00.000Z";9.468121705;9.5085771956;9.134819414;9.1893688411;71675168.84;3185115095.96;"2023-06-26T23:59:59.999Z"
"2023-06-25T00:00:00.000Z";"2023-06-25T23:59:59.999Z";"2023-06-25T08:32:00.000Z";"2023-06-25T00:27:00.000Z";9.384584879;9.7313325742;9.371047523;9.4707499495;73883548.28;3282644233.31;"2023-06-25T23:59:59.999Z"
"2023-06-24T00:00:00.000Z";"2023-06-24T23:59:59.999Z";"2023-06-24T05:31:00.000Z";"2023-06-24T16:05:00.000Z";9.3116472447;9.4769087659;9.1455050752;9.3843964345;65710989.53;3252713354.6;"2023-06-24T23:59:59.999Z"
"2023-06-23T00:00:00.000Z";"2023-06-23T23:59:59.999Z";"2023-06-23T18:10:00.000Z";"2023-06-23T02:13:00.000Z";9.0170706947;9.4209401455;9.0032408631;9.3109000896;76553772.94;3227238882.78;"2023-06-23T23:59:59.999Z"
"2023-06-22T00:00:00.000Z";"2023-06-22T23:59:59.999Z";"2023-06-22T10:46:00.000Z";"2023-06-22T23:17:00.000Z";9.0523920513;9.3960236123;9.0155125663;9.0169581548;85936262.06;3125356053.83;"2023-06-22T23:59:59.999Z"
"2023-06-21T00:00:00.000Z";"2023-06-21T23:59:59.999Z";"2023-06-21T18:35:00.000Z";"2023-06-21T00:09:00.000Z";8.7810090751;9.1032884463;8.7586210298;9.0535211685;97467458.47;3138029112.09;"2023-06-21T23:59:59.999Z"
"2023-06-20T00:00:00.000Z";"2023-06-20T23:59:59.999Z";"2023-06-20T23:52:00.000Z";"2023-06-20T14:28:00.000Z";8.5917179301;8.7905740714;8.2849047308;8.7812072106;78730358.56;3043642727.87;"2023-06-20T23:59:59.999Z"
"2023-06-19T00:00:00.000Z";"2023-06-19T23:59:59.999Z";"2023-06-19T20:46:00.000Z";"2023-06-19T16:37:00.000Z";8.5596332641;8.6256302357;8.3822118998;8.5917940072;61643037.57;2977990465.61;"2023-06-19T23:59:59.999Z"
"2023-06-18T00:00:00.000Z";"2023-06-18T23:59:59.999Z";"2023-06-18T00:16:00.000Z";"2023-06-18T23:28:00.000Z";8.9031669649;8.9188599812;8.5420888175;8.5593789753;58481405.16;2966755133.85;"2023-06-18T23:59:59.999Z"
"2023-06-17T00:00:00.000Z";"2023-06-17T23:59:59.999Z";"2023-06-17T19:32:00.000Z";"2023-06-17T02:04:00.000Z";8.7554274729;8.9699214875;8.6927757316;8.9036509085;51812676.09;3086082777.61;"2023-06-17T23:59:59.999Z"
"2023-06-16T00:00:00.000Z";"2023-06-16T23:59:59.999Z";"2023-06-16T18:17:00.000Z";"2023-06-16T00:42:00.000Z";8.6632317281;8.9155995237;8.5677352559;8.7552521594;64814657.05;3034646481.58;"2023-06-16T23:59:59.999Z"
"2023-06-15T00:00:00.000Z";"2023-06-15T23:59:59.999Z";"2023-06-15T21:39:00.000Z";"2023-06-15T17:42:00.000Z";8.4829831076;8.7478899036;8.4213103778;8.6634561985;82903103.71;3002829203.83;"2023-06-15T23:59:59.999Z"
"2023-06-14T00:00:00.000Z";"2023-06-14T23:59:59.999Z";"2023-06-14T19:13:00.000Z";"2023-06-14T21:01:00.000Z";8.6447777356;8.8225117313;8.4178297744;8.4829046619;77723786.82;2940248472.27;"2023-06-14T23:59:59.999Z"
"2023-06-13T00:00:00.000Z";"2023-06-13T23:59:59.999Z";"2023-06-13T12:40:00.000Z";"2023-06-13T16:01:00.000Z";8.7534520044;8.8928945745;8.5609035245;8.6447795159;75321388.62;2996355703.34;"2023-06-13T23:59:59.999Z"
"2023-06-12T00:00:00.000Z";"2023-06-12T23:59:59.999Z";"2023-06-12T21:01:00.000Z";"2023-06-12T02:29:00.000Z";8.4444023384;8.8220204716;8.3149578685;8.7540948386;89457609.31;3034245344.16;"2023-06-12T23:59:59.999Z"
"2023-06-11T00:00:00.000Z";"2023-06-11T23:59:59.999Z";"2023-06-11T21:30:00.000Z";"2023-06-11T07:49:00.000Z";8.2446504837;8.5006334326;8.1322053914;8.4445161147;73995308.87;2926942668.21;"2023-06-11T23:59:59.999Z"
