timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T00:05:00.000Z";"2023-08-31T21:10:00.000Z";7.9322556576;7.9664283334;7.4559245378;7.5573487546;8595520.79;106354380.1;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T23:55:00.000Z";"2023-08-30T06:52:00.000Z";7.8314097009;7.932340182;7.6264164886;7.931824941;10374052.18;111596414.42;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T21:49:00.000Z";"2023-08-29T10:29:00.000Z";6.9044753912;8.0562743672;6.7701116127;7.8333804288;22279661.09;110183154.11;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T23:29:00.000Z";"2023-08-28T05:37:00.000Z";6.819142002;6.9275246259;6.6495559719;6.9045915453;4307387;97093876.69;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T08:55:00.000Z";"2023-08-27T22:14:00.000Z";7.0930735486;7.1313086268;6.7821526972;6.8172007031;4932930.08;95840979.53;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T03:55:00.000Z";"2023-08-26T18:37:00.000Z";7.1239364551;7.20022923;7.0353962856;7.0931185296;2750817;99694667.58;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T19:01:00.000Z";"2023-08-25T04:40:00.000Z";7.1387712789;7.1745619817;6.9679233275;7.12395275;4518427.98;100103068.04;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:01:00.000Z";"2023-08-24T14:46:00.000Z";7.4088230199;7.4131950531;6.9970078786;7.1384270575;5571666.93;100280623.31;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T20:28:00.000Z";"2023-08-23T13:00:00.000Z";7.2767970867;7.5144376515;7.2224103861;7.4084626014;4827021.41;104048153.01;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T23:59:00.000Z";"2023-08-22T18:13:00.000Z";7.1464307927;7.2760080563;6.9914143754;7.2760080563;4112712.2;102161928.9;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:31:00.000Z";"2023-08-21T16:04:00.000Z";7.2057077136;7.2200114981;7.0326995393;7.1463526541;4183810.19;100316032.09;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T01:03:00.000Z";"2023-08-20T16:58:00.000Z";7.2686252266;7.3119258507;7.0964862688;7.205153576;3373815.97;101115504.13;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T17:01:00.000Z";"2023-08-19T05:42:00.000Z";7.2323641636;7.3385444291;7.1388487706;7.2684275143;3516514.77;101977582.57;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T08:13:00.000Z";"2023-08-18T00:02:00.000Z";7.0945243435;7.3647918289;7.0880788191;7.2320752519;5410412.35;101441788.34;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T03:25:00.000Z";"2023-08-17T21:46:00.000Z";7.7962606392;7.8820332417;6.4320402621;7.0928563976;8655929.05;99464011.88;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:21:00.000Z";"2023-08-16T21:16:00.000Z";8.0003807731;8.0150757032;7.5516005651;7.7951470927;6606069.17;109284308.27;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T00:00:00.000Z";"2023-08-15T19:11:00.000Z";8.8055994501;8.8055994501;7.7237438124;8.000676342;8160167.14;112136929.57;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T15:41:00.000Z";"2023-08-14T02:22:00.000Z";8.6116486271;8.8494544309;8.5556227548;8.8053657635;4177780.02;123383866.96;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T14:10:00.000Z";"2023-08-13T22:43:00.000Z";8.6776636282;8.7583120314;8.5513385466;8.6126103496;4301713.28;120651743.75;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T08:02:00.000Z";"2023-08-12T19:58:00.000Z";8.7159535683;8.770318793;8.6449347247;8.6767642097;3262911.62;121520089.26;"2023-08-12T23:59:59.999Z"
