timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:49:00.000Z";"2023-08-31T21:10:00.000Z";7.1156797142;7.3048170588;6.9329204852;6.992264931;30878678.19;585641034.62;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:16:00.000Z";"2023-08-30T15:10:00.000Z";7.2502201835;7.2729195384;6.9969082902;7.1154185082;27240550.84;595955830.92;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:58:00.000Z";"2023-08-29T10:42:00.000Z";6.8954117833;7.4429736102;6.6479759336;7.250400576;57931680.93;607261329;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T12:30:00.000Z";"2023-08-28T16:50:00.000Z";6.9414491283;7.0684934335;6.8155370796;6.8957498073;28036660.97;577557356.81;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T00:56:00.000Z";"2023-08-27T22:13:00.000Z";7.2156928678;7.2818436054;6.8871428846;6.9411857081;28909911.19;581362865.93;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T03:32:00.000Z";"2023-08-26T18:47:00.000Z";7.2680024471;7.2726168713;7.1694300544;7.2159578965;15677559.41;604376563.24;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:00:00.000Z";"2023-08-25T04:40:00.000Z";7.4695086775;7.4695086775;7.112878483;7.2679987161;29903353.75;608735271.01;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:43:00.000Z";"2023-08-24T20:58:00.000Z";7.7214427597;7.7761582565;7.3751752236;7.4695546797;25973505.52;625616702.74;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T20:12:00.000Z";"2023-08-23T05:08:00.000Z";7.3414107503;7.8130287308;7.3303312819;7.7211034778;36181992.61;646685312.09;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T07:46:00.000Z";"2023-08-22T18:13:00.000Z";7.4695864307;7.4963557281;7.1182250691;7.3416274385;35004836.04;614902085.57;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:09:00.000Z";"2023-08-21T10:46:00.000Z";7.7282310057;7.8642952727;7.3688887973;7.4671823306;36176119.6;625418005.32;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T06:43:00.000Z";"2023-08-20T21:26:00.000Z";7.7477862114;7.9465453416;7.6993379817;7.7286193979;25396687.65;647314812.16;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T00:55:00.000Z";"2023-08-19T05:43:00.000Z";7.8784727687;8.0511270802;7.7151061631;7.7485928873;47663237.65;648987702.87;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T17:55:00.000Z";"2023-08-18T03:02:00.000Z";7.1383604763;7.9613906013;7.0324420979;7.8765473067;94702167.39;659704596.36;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T08:04:00.000Z";"2023-08-17T21:46:00.000Z";7.03998856;7.3075153453;6.7466500891;7.1390197434;69070716.06;597932565.48;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T15:28:00.000Z";"2023-08-16T21:16:00.000Z";7.1953171758;7.3271966908;6.9450860883;7.0397893492;48098274.26;589621468.67;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T00:01:00.000Z";"2023-08-15T21:21:00.000Z";7.5648110703;7.5663608872;7.1498823459;7.1961747037;38684886.53;602719610.94;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T08:43:00.000Z";"2023-08-14T18:19:00.000Z";7.701772911;7.749876895;7.5418421006;7.5644588906;25609280.11;633565457.66;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T20:05:00.000Z";"2023-08-13T06:13:00.000Z";7.6634029139;7.7391662151;7.5920873148;7.7022778994;17161156.44;645108565.32;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T23:14:00.000Z";"2023-08-12T00:25:00.000Z";7.6362961649;7.6928142341;7.6241673312;7.6634638922;14360968.02;641857676.58;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T11:16:00.000Z";"2023-08-11T23:16:00.000Z";7.6877785589;7.7508839573;7.6311288404;7.6356129558;18708210.78;639525005.92;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T00:01:00.000Z";"2023-08-10T09:37:00.000Z";7.8767002768;7.8770017408;7.5588346907;7.6875784292;36493793.1;643877403.02;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T00:34:00.000Z";"2023-08-09T21:17:00.000Z";8.1135445675;8.1436981672;7.8192039457;7.8761860187;26721550.65;659674336.48;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T21:25:00.000Z";"2023-08-08T02:04:00.000Z";7.9234921083;8.2190922717;7.8936191371;8.1128167384;31871262.38;679493473.9;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T01:34:00.000Z";"2023-08-07T16:19:00.000Z";7.8903399944;8.0555250897;7.7188724358;7.9237505526;26536473.73;663658130.45;"2023-08-07T23:59:59.999Z"
