timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T06:03:00.000Z";"2023-08-31T21:10:00.000Z";0.01212022;0.01213372;0.0112803673;0.0113959938;2468260.11;88244013.29;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T08:47:00.000Z";"2023-08-30T15:11:00.000Z";0.0122663235;0.0123771082;0.0118956781;0.01212129;2599648.92;93860289.35;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T18:26:00.000Z";"2023-08-29T10:39:00.000Z";0.0113301042;0.0123932334;0.0109895872;0.0122657517;3418641.87;94978917.2;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T14:19:00.000Z";"2023-08-28T01:16:00.000Z";0.0112428738;0.0115364448;0.0111299942;0.0113429802;2456187.04;87833506.69;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T20:38:00.000Z";"2023-08-27T14:00:00.000Z";0.0112958926;0.0113171753;0.0111363345;0.0112426223;1555805.22;87056392.52;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T03:06:00.000Z";"2023-08-26T18:52:00.000Z";0.0115461923;0.0115708239;0.0112797313;0.0112967026;1170247.2;87475158.96;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T23:46:00.000Z";"2023-08-25T04:53:00.000Z";0.0114471158;0.0115610187;0.0111267507;0.0115461892;2096473.84;89407039.42;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T06:52:00.000Z";"2023-08-24T20:58:00.000Z";0.0118344741;0.0118861444;0.0113054062;0.0114460541;2489587.93;88631650.95;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T17:21:00.000Z";"2023-08-23T13:17:00.000Z";0.0117145496;0.0120268251;0.0114054898;0.0118344123;2827498.9;91638873.45;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T07:46:00.000Z";"2023-08-22T18:14:00.000Z";0.01180548;0.0118672437;0.0112383877;0.0117154763;2749064.96;90717901.78;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:30:00.000Z";"2023-08-21T11:00:00.000Z";0.0119509108;0.0119994304;0.0115594771;0.0118080263;2344988.76;91434555.72;"2023-08-21T23:59:59.999Z"
