timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:53:00.000Z";"2023-08-31T21:10:00.000Z";8.0499550533;8.1351660828;7.8037850291;7.8314217383;6065198.94;232116682.05;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:13:00.000Z";"2023-08-30T21:48:00.000Z";8.2546553183;8.266662631;8.0206694481;8.0500027186;5847563.61;238595236.47;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T18:08:00.000Z";"2023-08-29T10:37:00.000Z";8.0443761782;8.3135089048;7.8420196212;8.2549702268;8659615.21;244500663.06;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T23:37:00.000Z";"2023-08-28T10:52:00.000Z";8.0123879817;8.0513804481;7.865591721;8.0431004484;5112669.77;238225376.79;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T23:11:00.000Z";"2023-08-27T03:07:00.000Z";7.8975958907;8.0224311619;7.8890895945;8.0128205965;4885731.73;237324707.67;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T20:34:00.000Z";"2023-08-26T00:49:00.000Z";7.7693884174;7.9067533498;7.7347385186;7.8975176638;6125236.79;233909651.2;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:03:00.000Z";"2023-08-25T23:31:00.000Z";8.0737696043;8.0804641333;7.7129577261;7.7696992416;7249456.61;230123909.42;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T09:06:00.000Z";"2023-08-24T15:32:00.000Z";8.1234708677;8.1961524773;7.9912035489;8.0733537845;8299172.61;239117587.09;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:52:00.000Z";"2023-08-23T13:16:00.000Z";8.02807186;8.2032929261;7.9894989813;8.1232698776;6975280.04;240596008.08;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T12:46:00.000Z";"2023-08-22T22:10:00.000Z";7.9876772287;8.0540656475;7.7805404717;8.0280272271;6300928.76;237766291.85;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:08:00.000Z";"2023-08-21T15:31:00.000Z";8.1348919703;8.1684190135;7.8570621688;7.9879075673;5475653.44;236578066.84;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T21:03:00.000Z";"2023-08-20T17:07:00.000Z";8.0869876934;8.1929153577;8.0851673279;8.1350545498;3781748.56;240936122.86;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T16:59:00.000Z";"2023-08-19T07:04:00.000Z";8.0259146332;8.1777252716;7.9544385484;8.0866177447;4817002.21;239501568.74;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T07:19:00.000Z";"2023-08-18T00:04:00.000Z";7.9413878028;8.1698169791;7.931591178;8.0252629032;9969210.28;237684420.8;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T14:08:00.000Z";"2023-08-17T21:46:00.000Z";8.2543365018;8.4185096835;7.1525658425;7.9402188471;14107832.44;235165668.77;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T03:53:00.000Z";"2023-08-16T21:58:00.000Z";8.560176744;8.6226050417;8.1107780718;8.2543268895;9207368.66;244468614.86;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T00:01:00.000Z";"2023-08-15T19:10:00.000Z";9.0199266451;9.0227028831;8.406482233;8.5602421071;9738419.24;251791184.69;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T08:44:00.000Z";"2023-08-14T02:23:00.000Z";8.9887247682;9.1036895647;8.944914859;9.0190918699;6614530.63;265287803.59;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T20:06:00.000Z";"2023-08-13T22:45:00.000Z";9.0061046607;9.0677872671;8.9295426061;8.9887273838;5647060.24;264374886.6;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T09:20:00.000Z";"2023-08-12T00:07:00.000Z";8.9439230334;9.0424238852;8.929830397;9.0066036311;4606956.31;264900659.68;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T01:02:00.000Z";"2023-08-11T20:25:00.000Z";9.1765596739;9.2112761905;8.8859609626;8.9432360093;12499339.12;263036902.21;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T14:06:00.000Z";"2023-08-10T07:02:00.000Z";9.1621301449;9.2522720811;9.1359812622;9.1757158515;6090480.76;269874558.9;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T00:00:00.000Z";"2023-08-09T19:59:00.000Z";9.3090542101;9.3090542101;9.0502676486;9.1626641117;7081447.78;267783178;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T21:30:00.000Z";"2023-08-08T04:16:00.000Z";9.1403365169;9.3911372721;9.0773281718;9.3110019276;7518431.13;272118429.91;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T10:49:00.000Z";"2023-08-07T16:20:00.000Z";8.9852455215;9.1728659479;8.8898146649;9.1404384671;8383132.97;267133632.2;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T04:36:00.000Z";"2023-08-06T00:11:00.000Z";8.9137412215;9.103627887;8.9057481355;8.9849171655;6886679.06;258282132.02;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T19:12:00.000Z";"2023-08-05T00:20:00.000Z";8.7386453863;8.9174977776;8.7293246279;8.9134416862;7027757.45;256227484.35;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T00:01:00.000Z";"2023-08-04T20:52:00.000Z";8.997462083;8.998292675;8.6208449277;8.7386275585;13841874.05;251202244.29;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T02:10:00.000Z";"2023-08-03T23:59:00.000Z";9.4699329849;9.4870772206;8.9973984468;8.9973984468;13793970.68;258640921.3;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T01:37:00.000Z";"2023-08-02T23:57:00.000Z";9.8633099051;9.9121750837;9.4656274035;9.469027765;20671910.76;272198467.08;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T23:59:00.000Z";"2023-08-01T02:14:00.000Z";9.5583094288;9.8659585908;9.334017766;9.8659585908;16681349.26;283608715.84;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T13:06:00.000Z";"2023-07-31T20:07:00.000Z";9.4935055402;9.7006104983;9.4460752578;9.5579847604;10454748.17;274755641.74;"2023-07-31T23:59:59.999Z"
"2023-07-30T00:00:00.000Z";"2023-07-30T23:59:59.999Z";"2023-07-30T03:55:00.000Z";"2023-07-30T20:04:00.000Z";9.529991479;9.5758723299;9.2337748264;9.4934451217;7254713.01;272900373.05;"2023-07-30T23:59:59.999Z"
"2023-07-29T00:00:00.000Z";"2023-07-29T23:59:59.999Z";"2023-07-29T23:55:00.000Z";"2023-07-29T09:03:00.000Z";9.3989427989;9.5395984199;9.3617865301;9.5308991985;5341125.33;273977035.04;"2023-07-29T23:59:59.999Z"
"2023-07-28T00:00:00.000Z";"2023-07-28T23:59:59.999Z";"2023-07-28T15:16:00.000Z";"2023-07-28T05:56:00.000Z";9.3113825022;9.452837251;9.2145838028;9.3994815802;7929296.44;270199279.27;"2023-07-28T23:59:59.999Z"
"2023-07-27T00:00:00.000Z";"2023-07-27T23:59:59.999Z";"2023-07-27T12:36:00.000Z";"2023-07-27T00:12:00.000Z";9.1601005298;9.3820260754;9.1418319342;9.3114576633;10899511.86;267668927.07;"2023-07-27T23:59:59.999Z"
"2023-07-26T00:00:00.000Z";"2023-07-26T23:59:59.999Z";"2023-07-26T20:56:00.000Z";"2023-07-26T01:39:00.000Z";9.1994820007;9.2799441975;9.0608657935;9.1601291435;10646864.74;263318808.76;"2023-07-26T23:59:59.999Z"
"2023-07-25T00:00:00.000Z";"2023-07-25T23:59:59.999Z";"2023-07-25T22:17:00.000Z";"2023-07-25T01:58:00.000Z";9.1424272371;9.2405997294;9.0977348458;9.1984765433;11228204.85;264401939.72;"2023-07-25T23:59:59.999Z"
"2023-07-24T00:00:00.000Z";"2023-07-24T23:59:59.999Z";"2023-07-24T07:52:00.000Z";"2023-07-24T22:36:00.000Z";9.5691038352;9.6879617405;9.1285354851;9.1421301266;15556053.09;262390856.3;"2023-07-24T23:59:59.999Z"
"2023-07-23T00:00:00.000Z";"2023-07-23T23:59:59.999Z";"2023-07-23T19:17:00.000Z";"2023-07-23T03:05:00.000Z";9.6079488204;9.666655274;9.4520665108;9.5681533732;12125090.26;274618269.7;"2023-07-23T23:59:59.999Z"
"2023-07-22T00:00:00.000Z";"2023-07-22T23:59:59.999Z";"2023-07-22T03:57:00.000Z";"2023-07-22T23:34:00.000Z";9.7971157599;9.8960268244;9.5651358651;9.6073376854;11042287.68;275742909.7;"2023-07-22T23:59:59.999Z"
"2023-07-21T00:00:00.000Z";"2023-07-21T23:59:59.999Z";"2023-07-21T02:38:00.000Z";"2023-07-21T19:16:00.000Z";9.98457518;10.1454087929;9.73288634;9.7970315368;15955979.17;281187366.46;"2023-07-21T23:59:59.999Z"
"2023-07-20T00:00:00.000Z";"2023-07-20T23:59:59.999Z";"2023-07-20T22:38:00.000Z";"2023-07-20T15:04:00.000Z";9.7390396529;10.0011901144;9.6845842678;9.9843393348;16152531.76;286563340.42;"2023-07-20T23:59:59.999Z"
"2023-07-19T00:00:00.000Z";"2023-07-19T23:59:59.999Z";"2023-07-19T02:04:00.000Z";"2023-07-19T21:13:00.000Z";9.8005680166;9.9524504922;9.6774763916;9.7399444547;13086536.33;279548894.01;"2023-07-19T23:59:59.999Z"
