timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T14:44:00.000Z";"2023-08-31T19:33:00.000Z";0.0332161468;0.0335909406;0.032012628;0.0321147319;3223621.76;201159356.22;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:02:00.000Z";"2023-08-30T16:58:00.000Z";0.0335906007;0.0335917935;0.0330089274;0.0332170542;2024443.56;208029030.35;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T17:58:00.000Z";"2023-08-29T12:05:00.000Z";0.0328516046;0.0337703411;0.0321325396;0.0335880413;3405457.6;210316099.49;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:08:00.000Z";"2023-08-28T10:08:00.000Z";0.0334180876;0.033418281;0.0322757876;0.0328676796;1990161.8;205769634.04;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T00:00:00.000Z";"2023-08-27T22:41:00.000Z";0.0338116863;0.0338116863;0.0333091116;0.0334178072;1344421;209176163.68;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T01:07:00.000Z";"2023-08-26T00:07:00.000Z";0.033377404;0.0341614298;0.0333634571;0.0338148544;3710206.98;211622838.58;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:03:00.000Z";"2023-08-25T15:03:00.000Z";0.0334524745;0.0334577219;0.0329969715;0.0333741939;1666662.11;208826970.64;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:03:00.000Z";"2023-08-24T20:58:00.000Z";0.0338320544;0.0338650539;0.0332023465;0.0334583296;1703864.2;209317008.75;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T20:42:00.000Z";"2023-08-23T04:23:00.000Z";0.0331404935;0.0339394832;0.0329418708;0.0338322071;1718251.5;211618710.68;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:03:00.000Z";"2023-08-22T21:41:00.000Z";0.0336326657;0.0336728045;0.032531228;0.0331436729;1872433.26;207274399.24;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T00:04:00.000Z";"2023-08-21T13:29:00.000Z";0.0343126472;0.0346417844;0.0330366342;0.0336130615;3031787.3;210171545.12;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T01:07:00.000Z";"2023-08-20T00:05:00.000Z";0.0336717906;0.0347406346;0.0336540677;0.0343134375;4320749.74;214511155.95;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T19:22:00.000Z";"2023-08-19T00:08:00.000Z";0.0331937121;0.0337443308;0.0331681899;0.033660003;2076444.09;210387177.51;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T09:34:00.000Z";"2023-08-18T04:45:00.000Z";0.0326369981;0.0333174836;0.03224016;0.0331945903;2648300.3;207439701.18;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T03:42:00.000Z";"2023-08-17T22:13:00.000Z";0.0353621316;0.0357052664;0.0317876608;0.0326326573;5019518.84;203890264.06;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:40:00.000Z";"2023-08-16T23:09:00.000Z";0.0379898344;0.0386750944;0.0350014832;0.0353588893;5393885.7;220882907.95;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T00:16:00.000Z";"2023-08-15T23:05:00.000Z";0.0397945169;0.0398032222;0.0378878384;0.0379911964;3301838.81;237282581.75;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T16:49:00.000Z";"2023-08-14T12:49:00.000Z";0.0397919869;0.0401413343;0.0394635661;0.0397990883;2243126.26;248528024.25;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T02:24:00.000Z";"2023-08-13T08:36:00.000Z";0.0398719864;0.0400668013;0.0395902556;0.039788459;1417385.5;248415512.97;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T01:03:00.000Z";"2023-08-12T12:59:00.000Z";0.0399864699;0.0400823098;0.0396612371;0.0398704368;1909979.08;248881779.88;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T00:31:00.000Z";"2023-08-11T17:17:00.000Z";0.0398527674;0.0402462546;0.0397059178;0.0399917445;1879573.81;249594060.11;"2023-08-11T23:59:59.999Z"
