timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T00:01:00.000Z";"2023-08-31T17:04:00.000Z";0.5281951478;0.5284620968;0.5050803796;0.5107986257;1074749312.38;27060935129.03;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:02:00.000Z";"2023-08-30T15:07:00.000Z";0.5400450257;0.5401647042;0.5231515196;0.5281944054;967541032.07;27982517233.05;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:46:00.000Z";"2023-08-29T10:40:00.000Z";0.5232520081;0.5465756691;0.5137709401;0.5400651703;1468584827.88;28611349731.16;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T23:28:00.000Z";"2023-08-28T09:28:00.000Z";0.523839724;0.5243532647;0.5126726554;0.5232479557;842593343.94;27687243601.79;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T14:40:00.000Z";"2023-08-27T22:10:00.000Z";0.5234843926;0.5296018027;0.5215161495;0.5238443579;584757090.26;27718801744.82;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T20:21:00.000Z";"2023-08-26T05:39:00.000Z";0.5262184801;0.5268652422;0.5193064482;0.5234701134;541153725.09;27698998898.56;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T19:10:00.000Z";"2023-08-25T09:17:00.000Z";0.5184579287;0.5297742683;0.5087426345;0.5262458831;1067427241.27;27845876512.16;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T05:29:00.000Z";"2023-08-24T20:58:00.000Z";0.5299133929;0.5313836147;0.5133054436;0.5184125297;881617930.86;27431380938.45;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:50:00.000Z";"2023-08-23T13:17:00.000Z";0.520919011;0.5347706129;0.5164361237;0.5299015196;1007927235.81;28039311573.55;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:05:00.000Z";"2023-08-22T17:43:00.000Z";0.5245361571;0.5248184925;0.5063426503;0.5209295493;1227160128.7;27526890712.96;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T00:10:00.000Z";"2023-08-21T16:17:00.000Z";0.5395482631;0.5397817294;0.5100486756;0.5245380137;1445315789.15;27717568716.7;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T11:10:00.000Z";"2023-08-20T03:01:00.000Z";0.5196390121;0.5529591202;0.5173293925;0.5395465517;1471670949.22;28510647906.98;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T16:58:00.000Z";"2023-08-19T07:16:00.000Z";0.5061279011;0.523208417;0.5019761908;0.5196292042;1038954380.05;27458178051.73;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T07:01:00.000Z";"2023-08-18T03:00:00.000Z";0.5072453354;0.5170611805;0.4875952994;0.5061001935;2169285315.77;26743279845.7;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T02:35:00.000Z";"2023-08-17T21:47:00.000Z";0.5883439959;0.5934707756;0.4681060407;0.5071420081;2425926882.19;26798331277.75;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T04:32:00.000Z";"2023-08-16T21:16:00.000Z";0.609587755;0.6143153209;0.57905219;0.5883282014;1688583741.05;31088361406.81;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T00:00:00.000Z";"2023-08-15T19:13:00.000Z";0.6342375639;0.6342375639;0.593503135;0.6095986789;1230727429.45;32179058866.67;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T23:44:00.000Z";"2023-08-14T00:46:00.000Z";0.6260976194;0.6354509715;0.6247240735;0.6342822383;939329128.56;33482036939.09;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T19:42:00.000Z";"2023-08-13T22:43:00.000Z";0.6271920535;0.6370410253;0.6249028762;0.626101633;635297148.45;33050204997.41;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T00:58:00.000Z";"2023-08-12T19:58:00.000Z";0.631656581;0.6321516224;0.6255420777;0.6272053331;519563799.57;33108466327;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T04:34:00.000Z";"2023-08-11T15:55:00.000Z";0.6329907013;0.6391480753;0.6273332943;0.6316749571;885715585.76;33344405640.56;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T00:10:00.000Z";"2023-08-10T07:58:00.000Z";0.6433463559;0.6434395742;0.6252756265;0.6329857325;1159039975.08;33413597919.22;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T19:31:00.000Z";"2023-08-09T22:07:00.000Z";0.642374872;0.6623444908;0.634652982;0.6433650232;1659437399.63;33931898919.23;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T21:23:00.000Z";"2023-08-08T10:41:00.000Z";0.6219277132;0.6448859811;0.6153177187;0.6424063537;1296031585.2;33881337454.93;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T01:32:00.000Z";"2023-08-07T16:49:00.000Z";0.6230931555;0.6277778368;0.6049778966;0.6219310068;1417493753.1;32801441322.14;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T04:40:00.000Z";"2023-08-06T23:46:00.000Z";0.6284293255;0.6364349557;0.6216337404;0.6230870285;849060663.55;32862411390.47;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T00:00:00.000Z";"2023-08-05T01:58:00.000Z";0.6355321914;0.6355321914;0.6126365145;0.6284234242;1142144189.46;33143859767.45;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T01:47:00.000Z";"2023-08-04T21:59:00.000Z";0.6640877374;0.6664418613;0.6303039875;0.635538911;1342066973.69;33519139691.52;"2023-08-04T23:59:59.999Z"
