Rank,Name,Symbol,Price,Market Cap,Volume(24 Hour),Ciruculating Supply,Main Link,Historical Link,GitHub Link,Tags
1,Bitcoin,BTC,26047.67,507090156466.71,12406045117.51,19467775,https://coinmarketcap.com/currencies/bitcoin/,https://coinmarketcap.com/currencies/bitcoin/historical-data/,https://github.com/bitcoin/bitcoin,"['Mineable', 'PoW', 'SHA-256']"
2,Ethereum,ETH,1652.94,198709982386.16,5396997822.81,120216444,https://coinmarketcap.com/currencies/ethereum/,https://coinmarketcap.com/currencies/ethereum/historical-data/,https://github.com/ethereum/go-ethereum,"['PoS', 'Smart Contracts', 'Ethereum Ecosystem']"
3,Tether USDt,USDT,0.9995,82807252662.66,19999153581.65,82849133566,https://coinmarketcap.com/currencies/tether/,https://coinmarketcap.com/currencies/tether/historical-data/,No GitHub Link,"['Payments', 'Stablecoin', 'Asset-Backed Stablecoin']"
4,BNB,BNB,218.33,33590478887.3,423891091.63,153851122,https://coinmarketcap.com/currencies/bnb/,https://coinmarketcap.com/currencies/bnb/historical-data/,https://github.com/bnb-chain,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Payments']"
5,XRP,XRP,0.5262,27845876512.16,1067427241.27,52914193551,https://coinmarketcap.com/currencies/xrp/,https://coinmarketcap.com/currencies/xrp/historical-data/,https://github.com/ripple/rippled,"['Medium of Exchange', 'Enterprise Solutions', 'Arrington XRP Capital Portfolio']"
6,USD Coin,USDC,1.0001,25919090832.39,2870155394.25,25916750966,https://coinmarketcap.com/currencies/usd-coin/,https://coinmarketcap.com/currencies/usd-coin/historical-data/,https://github.com/centrehq/centre-tokens,"['Medium of Exchange', 'Stablecoin', 'Asset-Backed Stablecoin']"
7,Cardano,ADA,0.2611,9152956074.04,226745371.90,35058106675,https://coinmarketcap.com/currencies/cardano/,https://coinmarketcap.com/currencies/cardano/historical-data/,https://cardanoupdates.com/,"['DPoS', 'PoS', 'Platform']"
8,Dogecoin,DOGE,0.06308,8878470592.73,202977283.44,140739636384,https://coinmarketcap.com/currencies/dogecoin/,https://coinmarketcap.com/currencies/dogecoin/historical-data/,https://github.com/dogecoin/dogecoin,"['Mineable', 'PoW', 'Scrypt']"
9,Solana,SOL,20.39,8318053764.65,278312420.21,407893307,https://coinmarketcap.com/currencies/solana/,https://coinmarketcap.com/currencies/solana/historical-data/,https://github.com/solana-labs,"['PoS', 'Platform', 'Solana Ecosystem']"
10,TRON,TRX,0.0772,6900049920.05,174447305.16,89376407310,https://coinmarketcap.com/currencies/tron/,https://coinmarketcap.com/currencies/tron/historical-data/,https://github.com/tronprotocol/java-tron,"['Media', 'Payments', 'TRON Ecosystem']"
11,Polkadot,DOT,4.4865,5458384818.16,94505373.46,1216636775,https://coinmarketcap.com/currencies/polkadot-new/,https://coinmarketcap.com/currencies/polkadot-new/historical-data/,https://github.com/paritytech/polkadot,"['Substrate', 'Polkadot', 'Binance Chain']"
12,Dai,DAI,0.9999,5347822079.04,75095538.95,5347888596,https://coinmarketcap.com/currencies/multi-collateral-dai/,https://coinmarketcap.com/currencies/multi-collateral-dai/historical-data/,No GitHub Link,"['DeFi', 'Stablecoin', 'Asset-Backed Stablecoin']"
13,Polygon,MATIC,0.5462,5090241628.57,274560763.21,9319469069,https://coinmarketcap.com/currencies/polygon/,https://coinmarketcap.com/currencies/polygon/historical-data/,https://github.com/maticnetwork/contracts,"['PoS', 'Platform', 'Enterprise Solutions']"
14,Toncoin,TON,1.427,4897461704.62,29643403.69,3431892088,https://coinmarketcap.com/currencies/toncoin/,https://coinmarketcap.com/currencies/toncoin/historical-data/,https://github.com/ton-blockchain,"['PoS', 'DWF Labs Portfolio', 'Toncoin Ecosystem']"
15,Litecoin,LTC,65.11,4790996215.75,268487447.25,73580945,https://coinmarketcap.com/currencies/litecoin/,https://coinmarketcap.com/currencies/litecoin/historical-data/,https://github.com/litecoin-project/litecoin,"['Mineable', 'PoW', 'Scrypt']"
16,Shiba Inu,SHIB,8.14e-06,4796905977.53,139371203.42,589346914631298,https://coinmarketcap.com/currencies/shiba-inu/,https://coinmarketcap.com/currencies/shiba-inu/historical-data/,No GitHub Link,"['Memes', 'Ethereum Ecosystem', 'Doggone Doggerel']"
