Rank,Languages
1,"['C++', 'Wikitext', 'C++', 'Wikitext', 'C', 'C', 'C', 'C++', 'Wikitext']"
2,"['Go', 'Solidity', 'C++', 'Markdown', 'TypeScript', 'Go', 'C++', 'Haskell', 'TypeScript', 'Rust', 'TypeScript', 'Markdown', 'Solidity', 'JavaScript', 'Python', 'JavaScript', 'TypeScript', 'HTML', 'Go']"
3,No GitHub Link
4,"['Go', 'Solidity', 'Go', 'Solidity', 'Go', 'Solidity', 'Go', 'Solidity', 'TypeScript', 'Go', 'JavaScript', 'JavaScript', 'Python', 'Go', 'Go', 'TypeScript', 'Solidity', 'JavaScript', 'Shell']"
5,"['C++', 'JavaScript', 'TypeScript', 'Python', 'Java', 'C++', 'C++', 'Python', 'Python', 'TypeScript', 'CMake', 'Python', 'JavaScript', 'Java', 'TypeScript', 'JavaScript', 'Python', 'C', 'HTML', 'Vue']"
6,"['JavaScript', 'TypeScript', 'TypeScript', 'HTML', 'JavaScript', 'TypeScript', 'JavaScript', 'TypeScript', 'TypeScript', 'JavaScript', 'JavaScript', 'JavaScript', 'JavaScript', 'HTML', 'JavaScript', 'TypeScript', 'HTML']"
7,No GitHub Link
8,"['C++', 'C++', 'HTML', 'C', 'Java', 'Python', 'HTML', 'HTML', 'C++', 'Python', 'C', 'Java']"
9,"['Rust', 'Rust', 'Rust', 'Rust', 'Rust', 'TypeScript', 'TypeScript', 'Rust', 'TypeScript', 'Rust', 'Rust', 'Rust', 'TypeScript', 'JavaScript', 'Shell', 'C']"
10,"['Java', 'Java', 'Java', 'Java', 'Java', 'Shell', 'JavaScript', 'TypeScript', 'JavaScript', 'Java', 'Java', 'Java', 'JavaScript', 'Rust', 'Shell', 'C++']"
11,"['Rust', 'Rust', 'Rust', 'Rust', 'TypeScript', 'Rust', 'Rust', 'TypeScript', 'Rust', 'TypeScript', 'Rust', 'TypeScript', 'Rust', 'Rust', 'Rust', 'JavaScript', 'TypeScript', 'Shell', 'Python']"
12,No GitHub Link
13,"['JavaScript', 'Solidity', 'TypeScript', 'Go', 'TypeScript', 'Shell', 'Go', 'Go', 'TypeScript', 'JavaScript', 'Go', 'Go', 'Go', 'HCL', 'JavaScript', 'JavaScript', 'TypeScript', 'Go', 'Solidity', 'Shell']"
14,"['C++', 'Python', 'JavaScript', 'C++', 'TypeScript', 'Python', 'Python', 'Kotlin', 'Vue', 'Ruby', 'TypeScript', 'JavaScript', 'C++', 'Python', 'HTML']"
15,"['C++', 'HTML', 'HTML', 'JavaScript', 'JavaScript', 'C++', 'Dockerfile', 'JavaScript', 'HTML', 'HTML', 'C++', 'HTML', 'JavaScript', 'HTML', 'C++', 'Java', 'Python']"
16,No GitHub Link
17,"['JavaScript', 'HTML', 'JavaScript', 'HTML', 'JavaScript', 'HTML']"
18,No GitHub Link
19,No GitHub Link
20,"['Go', 'TypeScript', 'TypeScript', 'Solidity', 'Vue', 'Go', 'Rust', 'Go', 'Go', 'Go', 'Go', 'Go', 'Rust', 'Solidity', 'JavaScript', 'Go', 'Go', 'Rust', 'TypeScript', 'JavaScript', 'Solidity']"
