timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T15:13:00.000Z";"2023-08-31T23:49:00.000Z";1.0378639716;1.091417146;0.9861817826;0.9884398125;2542076.88;215176239.58;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:20:00.000Z";"2023-08-30T17:39:00.000Z";1.1152778429;1.1185837338;1.0039072169;1.0379546053;2934464.67;225915895.67;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T17:14:00.000Z";"2023-08-29T05:09:00.000Z";1.109710478;1.1642829461;1.0140014276;1.1140215204;3409039;242419131.59;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T09:22:00.000Z";"2023-08-28T22:05:00.000Z";1.1952724748;1.2405982676;1.0933602174;1.1099997672;2357641.3;241491048.99;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T00:00:00.000Z";"2023-08-27T07:06:00.000Z";1.221862864;1.221862864;1.140475785;1.1953237695;2451272.46;259997030.92;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T07:40:00.000Z";"2023-08-26T23:59:00.000Z";1.3121676807;1.3322087574;1.2215115086;1.2215115086;2675354.37;265634947.76;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:00:00.000Z";"2023-08-25T06:23:00.000Z";1.4135284437;1.4135284437;1.2964117647;1.3117933296;3635942.35;285205564.35;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:00:00.000Z";"2023-08-24T13:02:00.000Z";1.5293563226;1.5293563226;1.3895479004;1.4124966156;4519604.64;307033128.08;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T23:19:00.000Z";"2023-08-23T09:34:00.000Z";1.4865297604;1.5474745493;1.3707048765;1.5308077588;5017506.16;332677985.78;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T02:21:00.000Z";"2023-08-22T12:38:00.000Z";1.5137576457;1.6470091079;1.4370317891;1.4867266277;5266704.86;323027646.48;"2023-08-22T23:59:59.999Z"
