timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:46:00.000Z";"2023-08-31T23:59:00.000Z";0.0138514601;0.0142845655;0.0134146345;0.0134146345;8572520.87;89713879.11;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:16:00.000Z";"2023-08-30T16:58:00.000Z";0.0143036816;0.0143655354;0.0137370397;0.0138524603;7074751.3;92583226.28;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T16:15:00.000Z";"2023-08-29T12:19:00.000Z";0.0133855612;0.0144589884;0.0130547848;0.0143014713;9584879.28;95428379.07;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:21:00.000Z";"2023-08-28T08:37:00.000Z";0.0136686826;0.0137604737;0.0132690828;0.0133854624;4822727.43;89316193.37;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T15:10:00.000Z";"2023-08-27T03:18:00.000Z";0.0136441712;0.0137328977;0.0135040547;0.0136619005;2954232.16;91160761.81;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T00:22:00.000Z";"2023-08-26T18:45:00.000Z";0.0137889769;0.0138668752;0.0135041032;0.013644209;3217837.04;90748207.87;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T23:59:00.000Z";"2023-08-25T04:52:00.000Z";0.0134784771;0.0137892559;0.0132683905;0.0137892559;4724978.35;91712920.91;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:10:00.000Z";"2023-08-24T20:58:00.000Z";0.0140381367;0.01412622;0.0133363776;0.0134780226;4433428.56;89642895.09;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T17:21:00.000Z";"2023-08-23T13:17:00.000Z";0.0139153402;0.0142091183;0.0138028661;0.0140370511;5130167.72;93361017.14;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:04:00.000Z";"2023-08-22T21:29:00.000Z";0.0141246618;0.0141622233;0.013392149;0.0139142325;10670214.36;92544145.37;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T00:03:00.000Z";"2023-08-21T18:26:00.000Z";0.015015759;0.0150190138;0.0137705432;0.0141259659;9830745.21;93818808.04;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T07:19:00.000Z";"2023-08-20T17:06:00.000Z";0.0151866463;0.015671448;0.0147842814;0.0150182486;8367783.59;99744979.43;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T23:57:00.000Z";"2023-08-19T07:29:00.000Z";0.0143734968;0.0151910301;0.0143003772;0.0151871041;5800053.22;100667823.43;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T09:01:00.000Z";"2023-08-18T04:52:00.000Z";0.0138299608;0.0144189345;0.0137481928;0.0143718747;7613084.9;95264069.75;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T13:34:00.000Z";"2023-08-17T21:46:00.000Z";0.015499359;0.0158995446;0.0129514349;0.0138292304;12280806.06;91667147.92;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:22:00.000Z";"2023-08-16T21:22:00.000Z";0.0159174724;0.0159564276;0.015293754;0.0154995013;8922821.53;102490485.72;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T02:43:00.000Z";"2023-08-15T19:10:00.000Z";0.0173066634;0.0173344435;0.0154035134;0.0159189293;9418628.43;105263954.59;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T08:42:00.000Z";"2023-08-14T00:04:00.000Z";0.0172027958;0.0177130201;0.0171481582;0.0173081827;9087957.5;114450395.87;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T21:15:00.000Z";"2023-08-13T06:05:00.000Z";0.0171716582;0.0172633541;0.0169680104;0.0172044254;4413392.43;113764300.07;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T22:23:00.000Z";"2023-08-12T08:56:00.000Z";0.0170951615;0.0172822718;0.0169982318;0.0171780596;4415866.03;113265414.76;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T14:07:00.000Z";"2023-08-11T00:04:00.000Z";0.0168387389;0.0171778042;0.0168355378;0.0170962396;6132294.78;112725926.04;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T01:50:00.000Z";"2023-08-10T06:52:00.000Z";0.0168821159;0.0169371162;0.0165406059;0.0168385681;6444292.01;111026940.54;"2023-08-10T23:59:59.999Z"
