timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T00:00:00.000Z";"2023-08-31T21:10:00.000Z";0.0576980513;0.0576980513;0.0549390756;0.0563404416;12749257.96;288652438.9;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:16:00.000Z";"2023-08-30T22:22:00.000Z";0.0609285019;0.0610515842;0.0576739428;0.0576973413;10261089.21;295500509.37;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:38:00.000Z";"2023-08-29T10:26:00.000Z";0.0604605458;0.0635908568;0.0593011131;0.0608416174;16609473.68;311494316.59;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:19:00.000Z";"2023-08-28T05:34:00.000Z";0.0602695441;0.0611864988;0.0577847162;0.0604580653;12472824.11;309421147.42;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T00:33:00.000Z";"2023-08-27T22:13:00.000Z";0.0623042433;0.0628872346;0.0595613;0.0602584749;7701570.47;284781649.76;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T01:09:00.000Z";"2023-08-26T21:44:00.000Z";0.0644490768;0.0654051109;0.061754626;0.062306573;9570302.42;294430887.55;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:00:00.000Z";"2023-08-25T13:28:00.000Z";0.0664520867;0.0664520867;0.0616030147;0.0644377049;16871189.08;304464153.09;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T04:33:00.000Z";"2023-08-24T15:14:00.000Z";0.0668193533;0.0675516102;0.0655445966;0.0664671199;17266140.54;314021902.64;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T16:25:00.000Z";"2023-08-23T02:06:00.000Z";0.0604286966;0.0684991535;0.0595521024;0.0668092317;39677589.19;315578310.13;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T06:24:00.000Z";"2023-08-22T21:29:00.000Z";0.0596828541;0.0609087261;0.0584675897;0.0604222264;13391631.86;285306145.66;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T03:00:00.000Z";"2023-08-21T21:18:00.000Z";0.0606642059;0.0619471225;0.0587632723;0.0596669682;15009535.59;281096451.7;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T11:39:00.000Z";"2023-08-20T15:34:00.000Z";0.0593352738;0.0624578028;0.0591067562;0.0606696719;20238684.62;285796763.6;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T13:37:00.000Z";"2023-08-19T00:04:00.000Z";0.0581158063;0.0620413065;0.0578782166;0.0593317169;21911130.15;279461677.17;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T08:13:00.000Z";"2023-08-18T00:34:00.000Z";0.0526557367;0.0622121893;0.0519276703;0.0581064521;41752054.83;273653888.77;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T12:37:00.000Z";"2023-08-17T21:46:00.000Z";0.0556568368;0.059773758;0.0469801179;0.0526954116;27486150.26;248145689.35;"2023-08-17T23:59:59.999Z"
