timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:49:00.000Z";"2023-08-31T17:24:00.000Z";4.8730393867;4.8903631121;4.6399944675;4.6627405262;20033383.26;656735467.15;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:13:00.000Z";"2023-08-30T21:47:00.000Z";4.9992717458;5.0046756183;4.8522065219;4.8729400193;17164881.14;686341545.7;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T17:40:00.000Z";"2023-08-29T10:40:00.000Z";4.8375389526;5.0194580669;4.7056655903;4.9992931927;28385505.38;704138077.57;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:20:00.000Z";"2023-08-28T09:23:00.000Z";4.8749658796;4.8803362947;4.7110723934;4.8371096503;19369189.76;681294643.33;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T14:39:00.000Z";"2023-08-27T02:55:00.000Z";4.8275510128;4.8871253456;4.8147038601;4.8747014125;11811331.46;686589347.83;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T03:17:00.000Z";"2023-08-26T12:46:00.000Z";4.8545790473;4.8615049819;4.8162232038;4.8276237504;10635699.52;679958578.36;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:03:00.000Z";"2023-08-25T04:40:00.000Z";4.8745115543;4.8773403918;4.7670610078;4.8545583763;16559944.78;683752252.2;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T05:14:00.000Z";"2023-08-24T20:58:00.000Z";4.9777813163;4.9986595108;4.8251606877;4.8745216218;17514863.8;686564024.76;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T20:28:00.000Z";"2023-08-23T13:19:00.000Z";4.8942993965;5.0414755864;4.8600646742;4.9776706013;18074568.82;701092297.29;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T09:51:00.000Z";"2023-08-22T18:13:00.000Z";4.8998088433;4.9317841947;4.7439413548;4.8938442238;18831287.65;689285564.32;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T05:49:00.000Z";"2023-08-21T16:18:00.000Z";4.9381729036;4.9800222571;4.8093438185;4.8999908229;18852629.36;690151297.23;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T11:20:00.000Z";"2023-08-20T16:04:00.000Z";4.9461727073;4.9807162541;4.9013087417;4.9382203207;13615243.89;695535825.17;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T17:02:00.000Z";"2023-08-19T03:29:00.000Z";4.8741239646;4.97326339;4.8610668203;4.9460250439;16195603.09;696635100.68;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T00:28:00.000Z";"2023-08-18T03:16:00.000Z";4.8425434093;4.9363804957;4.7824023834;4.8743698319;29781234.87;686542645.54;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T06:03:00.000Z";"2023-08-17T21:46:00.000Z";5.2527520365;5.3696593362;4.5577298289;4.8427387543;56761880.73;682087488.38;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:12:00.000Z";"2023-08-16T21:58:00.000Z";5.5693852513;5.5762184567;5.1938281781;5.2524420804;50713008.19;739793164.2;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T00:00:00.000Z";"2023-08-15T19:12:00.000Z";5.8495335353;5.8495335353;5.4942237284;5.5693867032;49849721.52;784434011.6;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T06:04:00.000Z";"2023-08-14T21:23:00.000Z";5.8656004222;5.9162024694;5.8299670124;5.84992738;35956412.03;823947455.4;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T00:00:00.000Z";"2023-08-13T22:43:00.000Z";6.0546311017;6.0546311017;5.8505405237;5.8656768377;40389655.05;824164211.05;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T14:20:00.000Z";"2023-08-12T00:16:00.000Z";5.9786482032;6.1275581641;5.9540784341;6.0543748486;36343162.21;850677459.49;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T12:24:00.000Z";"2023-08-11T03:06:00.000Z";5.9228768458;6.0519019108;5.9091581407;5.9788665055;43786940.53;840068065.94;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T14:05:00.000Z";"2023-08-10T07:57:00.000Z";5.940498752;5.9777726522;5.8869217481;5.9224671755;32488175.34;832143608.01;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T00:16:00.000Z";"2023-08-09T21:18:00.000Z";5.9486120084;5.9648410553;5.8899057565;5.9399714645;34492099.55;834603069.89;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T18:28:00.000Z";"2023-08-08T01:32:00.000Z";5.7855779492;6.0211683346;5.7727524958;5.9482827876;45632010.69;835770862.66;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T04:31:00.000Z";"2023-08-07T16:51:00.000Z";5.8045608075;5.8971684625;5.611715848;5.7860326673;53978246.05;812973707.94;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T00:29:00.000Z";"2023-08-06T16:12:00.000Z";5.8398200183;5.9507227328;5.782697464;5.8049777624;57560281.93;815635612.08;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T23:52:00.000Z";"2023-08-05T02:06:00.000Z";5.72560015;5.8451661711;5.6629094375;5.8398033139;46170175.71;820528819.45;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T17:15:00.000Z";"2023-08-04T20:52:00.000Z";5.7859208071;5.8064798964;5.667269198;5.7256000746;48182230.13;804482551.44;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T02:10:00.000Z";"2023-08-03T22:34:00.000Z";5.9150929623;5.9370246436;5.763595705;5.7870362834;54213983.15;813114722.28;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T01:35:00.000Z";"2023-08-02T16:58:00.000Z";6.0737988759;6.1069325918;5.8930145482;5.9152522713;59624591.69;831129868.94;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T01:02:00.000Z";"2023-08-01T08:01:00.000Z";6.0070016758;6.2806339201;5.8648877593;6.073940292;123804256.12;853426526.42;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T02:37:00.000Z";"2023-07-31T20:08:00.000Z";6.0963023677;6.1603685769;5.9543569485;6.0070703423;46587135.14;844030881.07;"2023-07-31T23:59:59.999Z"
"2023-07-30T00:00:00.000Z";"2023-07-30T23:59:59.999Z";"2023-07-30T02:11:00.000Z";"2023-07-30T20:04:00.000Z";6.2192640963;6.3903301641;5.943864259;6.096312988;76956172.07;856570029.87;"2023-07-30T23:59:59.999Z"
"2023-07-29T00:00:00.000Z";"2023-07-29T23:59:59.999Z";"2023-07-29T17:24:00.000Z";"2023-07-29T11:04:00.000Z";6.1144326007;6.2796720154;6.0890280772;6.219200955;42475464.25;873836556.34;"2023-07-29T23:59:59.999Z"
"2023-07-28T00:00:00.000Z";"2023-07-28T23:59:59.999Z";"2023-07-28T23:29:00.000Z";"2023-07-28T08:13:00.000Z";6.0448633047;6.1197360881;6.0000529198;6.1144329935;36118288.37;859116003.75;"2023-07-28T23:59:59.999Z"
"2023-07-27T00:00:00.000Z";"2023-07-27T23:59:59.999Z";"2023-07-27T09:32:00.000Z";"2023-07-27T19:40:00.000Z";6.0716448193;6.1297700736;5.9876554371;6.0449184072;37995482.35;849315535.12;"2023-07-27T23:59:59.999Z"
"2023-07-26T00:00:00.000Z";"2023-07-26T23:59:59.999Z";"2023-07-26T20:43:00.000Z";"2023-07-26T02:19:00.000Z";6.0242379698;6.1284304581;5.9239076226;6.0714533734;41019989.46;853043717.62;"2023-07-26T23:59:59.999Z"
"2023-07-25T00:00:00.000Z";"2023-07-25T23:59:59.999Z";"2023-07-25T00:00:00.000Z";"2023-07-25T20:26:00.000Z";6.1476636401;6.1476636401;5.9549668095;6.0242353865;47456637.5;720623520.44;"2023-07-25T23:59:59.999Z"
"2023-07-24T00:00:00.000Z";"2023-07-24T23:59:59.999Z";"2023-07-24T00:46:00.000Z";"2023-07-24T17:46:00.000Z";6.4939884915;6.5451755258;6.0895231722;6.1481275376;49372547.29;735443591.77;"2023-07-24T23:59:59.999Z"
"2023-07-23T00:00:00.000Z";"2023-07-23T23:59:59.999Z";"2023-07-23T19:16:00.000Z";"2023-07-23T00:54:00.000Z";6.3736036539;6.5199290177;6.3142016198;6.4952606191;51467930.27;776967909.33;"2023-07-23T23:59:59.999Z"
"2023-07-22T00:00:00.000Z";"2023-07-22T23:59:59.999Z";"2023-07-22T09:00:00.000Z";"2023-07-22T23:37:00.000Z";6.4786420909;6.5316850727;6.336390749;6.372708573;43860740.97;762308142.36;"2023-07-22T23:59:59.999Z"
"2023-07-21T00:00:00.000Z";"2023-07-21T23:59:59.999Z";"2023-07-21T03:52:00.000Z";"2023-07-21T20:23:00.000Z";6.4618461472;6.5432118059;6.3821178209;6.4785342753;49019805.51;774967091.64;"2023-07-21T23:59:59.999Z"
"2023-07-20T00:00:00.000Z";"2023-07-20T23:59:59.999Z";"2023-07-20T23:21:00.000Z";"2023-07-20T15:04:00.000Z";6.3841948997;6.4688463323;6.3185626806;6.4615364184;51084989.99;772933795.34;"2023-07-20T23:59:59.999Z"
"2023-07-19T00:00:00.000Z";"2023-07-19T23:59:59.999Z";"2023-07-19T06:27:00.000Z";"2023-07-19T00:10:00.000Z";6.2884825082;6.4356908004;6.2747896919;6.3846159998;49723074.93;763732517.62;"2023-07-19T23:59:59.999Z"
"2023-07-18T00:00:00.000Z";"2023-07-18T23:59:59.999Z";"2023-07-18T00:34:00.000Z";"2023-07-18T12:23:00.000Z";6.3392418658;6.46452651;6.195150193;6.2882700473;43457206.74;752207543.08;"2023-07-18T23:59:59.999Z"
"2023-07-17T00:00:00.000Z";"2023-07-17T23:59:59.999Z";"2023-07-17T00:26:00.000Z";"2023-07-17T18:52:00.000Z";6.1929767636;6.5087115768;6.1780115112;6.3394399566;65502901.15;758328525.72;"2023-07-17T23:59:59.999Z"
"2023-07-16T00:00:00.000Z";"2023-07-16T23:59:59.999Z";"2023-07-16T00:17:00.000Z";"2023-07-16T23:38:00.000Z";6.3210554152;6.3496421048;6.181287031;6.1926829252;33456806.88;738693527.83;"2023-07-16T23:59:59.999Z"
"2023-07-15T00:00:00.000Z";"2023-07-15T23:59:59.999Z";"2023-07-15T10:20:00.000Z";"2023-07-15T03:30:00.000Z";6.3927863616;6.4619370706;6.2690673917;6.3204583255;37998402.16;753935202.95;"2023-07-15T23:59:59.999Z"
"2023-07-14T00:00:00.000Z";"2023-07-14T23:59:59.999Z";"2023-07-14T02:08:00.000Z";"2023-07-14T19:59:00.000Z";6.7081532339;6.8424990112;6.2199302164;6.3930267319;90865127.77;762591517.63;"2023-07-14T23:59:59.999Z"
"2023-07-13T00:00:00.000Z";"2023-07-13T23:59:59.999Z";"2023-07-13T19:21:00.000Z";"2023-07-13T04:15:00.000Z";5.9879186256;6.7652696958;5.9163418039;6.7093884651;110216611.78;800328693.52;"2023-07-13T23:59:59.999Z"
"2023-07-12T00:00:00.000Z";"2023-07-12T23:59:59.999Z";"2023-07-12T15:16:00.000Z";"2023-07-12T20:05:00.000Z";5.9242303112;6.0357336681;5.8903818654;5.9882569638;34191536.53;714308598.64;"2023-07-12T23:59:59.999Z"
"2023-07-11T00:00:00.000Z";"2023-07-11T23:59:59.999Z";"2023-07-11T23:49:00.000Z";"2023-07-11T00:52:00.000Z";5.7866772295;5.9282404905;5.7688024986;5.9242543527;27443175.8;706674053.95;"2023-07-11T23:59:59.999Z"
"2023-07-10T00:00:00.000Z";"2023-07-10T23:59:59.999Z";"2023-07-10T20:09:00.000Z";"2023-07-10T00:19:00.000Z";5.7881646631;5.8969618533;5.680963711;5.7862962383;29946181.87;690217734.87;"2023-07-10T23:59:59.999Z"
"2023-07-09T00:00:00.000Z";"2023-07-09T23:59:59.999Z";"2023-07-09T01:04:00.000Z";"2023-07-09T23:49:00.000Z";5.8513185;5.9197409394;5.7854298454;5.7879620309;21975602.18;690416438.75;"2023-07-09T23:59:59.999Z"
"2023-07-08T00:00:00.000Z";"2023-07-08T23:59:59.999Z";"2023-07-08T01:51:00.000Z";"2023-07-08T20:22:00.000Z";5.9543551728;5.9674299288;5.7145666821;5.8512097807;27270129.41;697960939.9;"2023-07-08T23:59:59.999Z"
"2023-07-07T00:00:00.000Z";"2023-07-07T23:59:59.999Z";"2023-07-07T14:04:00.000Z";"2023-07-07T00:04:00.000Z";5.8116879257;6.0074259153;5.7695898361;5.9543632587;24726918.79;710265591.62;"2023-07-07T23:59:59.999Z"
"2023-07-06T00:00:00.000Z";"2023-07-06T23:59:59.999Z";"2023-07-06T09:19:00.000Z";"2023-07-06T14:40:00.000Z";5.9618657914;6.1646311762;5.7882839585;5.8112535112;40813836.54;693194760.53;"2023-07-06T23:59:59.999Z"
"2023-07-05T00:00:00.000Z";"2023-07-05T23:59:59.999Z";"2023-07-05T07:35:00.000Z";"2023-07-05T15:41:00.000Z";6.1620662059;6.2398613415;5.8949187467;5.9619349286;34889447.85;711168777.47;"2023-07-05T23:59:59.999Z"
"2023-07-04T00:00:00.000Z";"2023-07-04T23:59:59.999Z";"2023-07-04T03:46:00.000Z";"2023-07-04T19:25:00.000Z";6.3158671127;6.4410415712;6.1385199421;6.161704698;37627084.61;734998293.28;"2023-07-04T23:59:59.999Z"
"2023-07-03T00:00:00.000Z";"2023-07-03T23:59:59.999Z";"2023-07-03T10:22:00.000Z";"2023-07-03T00:45:00.000Z";6.2782380465;6.4076698049;6.2041177793;6.3163185333;48008562.11;752735630.37;"2023-07-03T23:59:59.999Z"
"2023-07-02T00:00:00.000Z";"2023-07-02T23:59:59.999Z";"2023-07-02T00:01:00.000Z";"2023-07-02T13:52:00.000Z";6.4730379613;6.4863774886;6.1923868639;6.2782140936;59776769.55;748194603.94;"2023-07-02T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-01T23:59:59.999Z";"2023-07-01T16:09:00.000Z";"2023-07-01T00:00:00.000Z";5.9457822939;6.676006737;5.9457822939;6.4713329201;162696604.76;771209184.47;"2023-07-01T23:59:59.999Z"
"2023-06-30T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-30T13:01:00.000Z";"2023-06-30T13:49:00.000Z";5.6490836596;5.9918133885;5.5395594132;5.9457031458;57324406.89;708568224.01;"2023-06-30T23:59:59.999Z"
"2023-06-29T00:00:00.000Z";"2023-06-29T23:59:59.999Z";"2023-06-29T12:19:00.000Z";"2023-06-29T03:08:00.000Z";5.5372763748;5.7481300449;5.4986153016;5.6501628078;25339525.04;663177455.38;"2023-06-29T23:59:59.999Z"
"2023-06-28T00:00:00.000Z";"2023-06-28T23:59:59.999Z";"2023-06-28T00:01:00.000Z";"2023-06-28T19:48:00.000Z";5.8964524676;5.8990077109;5.5002975742;5.5375903844;29053141.96;649964474.48;"2023-06-28T23:59:59.999Z"
"2023-06-27T00:00:00.000Z";"2023-06-27T23:59:59.999Z";"2023-06-27T00:40:00.000Z";"2023-06-27T00:00:00.000Z";5.7883091262;5.9472042245;5.7883091262;5.8963193274;46427740.19;692069623.6;"2023-06-27T23:59:59.999Z"
"2023-06-26T00:00:00.000Z";"2023-06-26T23:59:59.999Z";"2023-06-26T00:01:00.000Z";"2023-06-26T16:49:00.000Z";5.8668476936;5.8678870492;5.6323081383;5.7884286623;44722699.83;679406155.45;"2023-06-26T23:59:59.999Z"
"2023-06-25T00:00:00.000Z";"2023-06-25T23:59:59.999Z";"2023-06-25T00:21:00.000Z";"2023-06-25T21:17:00.000Z";5.8996374355;6.2388768733;5.8413608217;5.8669873606;76433016.89;688186813.95;"2023-06-25T23:59:59.999Z"
"2023-06-24T00:00:00.000Z";"2023-06-24T23:59:59.999Z";"2023-06-24T00:40:00.000Z";"2023-06-24T00:07:00.000Z";5.6640312502;6.3879399002;5.640407492;5.8995229626;171507602.67;692003180.17;"2023-06-24T23:59:59.999Z"
"2023-06-23T00:00:00.000Z";"2023-06-23T23:59:59.999Z";"2023-06-23T02:32:00.000Z";"2023-06-23T00:01:00.000Z";5.3587242259;5.7867582939;5.3569780179;5.6640992054;80359627.53;664388406.96;"2023-06-23T23:59:59.999Z"
