timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:46:00.000Z";"2023-08-31T21:10:00.000Z";223.8185689883;225.5888760801;215.4484313552;216.5977861687;428616638.93;33323655435.27;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:04:00.000Z";"2023-08-30T16:52:00.000Z";226.8701484943;227.0490083018;221.9781441511;223.7994308308;359750612;34431659640.73;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:46:00.000Z";"2023-08-29T10:40:00.000Z";218.7215071395;233.060015308;217.0478708672;226.8628766219;593296660.7;34903000575.6;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T23:28:00.000Z";"2023-08-28T08:19:00.000Z";218.3582483497;218.970014328;215.8501962872;218.7185655726;332786869.36;33650022331.15;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T17:01:00.000Z";"2023-08-27T04:31:00.000Z";216.3699467882;219.5391816109;216.0804044823;218.3580031903;325410552.94;33594578271.57;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T00:28:00.000Z";"2023-08-26T23:46:00.000Z";218.3317976761;218.7864333538;216.2140406404;216.3642380953;273738258.4;33287858207.8;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:06:00.000Z";"2023-08-25T05:08:00.000Z";218.6810921047;219.2549973138;214.2651614151;218.3310621824;423891091.63;33590478887.31;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T11:22:00.000Z";"2023-08-24T20:58:00.000Z";216.4448390802;220.3855193478;215.8997365458;218.6463910051;394620698.33;33639019170.31;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:50:00.000Z";"2023-08-23T00:00:00.000Z";210.8186910362;218.3167066993;210.8186910362;216.3992966395;566160608.17;33293304052.03;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T23:17:00.000Z";"2023-08-22T16:28:00.000Z";210.579950858;211.8742526067;204.3991384887;210.8343571151;637832641.42;32437179621.73;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:09:00.000Z";"2023-08-21T15:31:00.000Z";216.6307915177;216.7411792759;207.5687710083;210.6389532912;582113966.52;32407148960.35;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T20:47:00.000Z";"2023-08-20T15:11:00.000Z";217.0158488689;217.8824235409;215.6808645451;216.6358017322;297744716.62;33329801761.41;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T17:00:00.000Z";"2023-08-19T07:20:00.000Z";216.1444827825;218.9975908586;214.3288438049;216.9994472153;477267427.54;33385777381.9;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T00:10:00.000Z";"2023-08-18T03:22:00.000Z";218.5657298052;220.1370055609;214.0222491255;216.112548643;567051050.26;33249357708.94;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T00:16:00.000Z";"2023-08-17T21:52:00.000Z";231.8725797466;232.1050586845;214.5474335482;218.5358420485;786294217.62;33622225777.67;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:22:00.000Z";"2023-08-16T21:22:00.000Z";236.6897038038;237.0142223082;231.2051647657;231.8687499668;461572144.2;35673568328.27;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T01:13:00.000Z";"2023-08-15T19:16:00.000Z";240.3504669423;240.4103015204;235.3605318349;236.6795738891;482870297.16;36411284995.21;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T05:01:00.000Z";"2023-08-14T02:22:00.000Z";240.0412745529;241.0249274095;239.7473669671;240.3392438653;381157536.01;36976850145.7;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T20:05:00.000Z";"2023-08-13T22:43:00.000Z";240.2696905138;241.6295887235;239.9025931807;240.0333445417;296580782.84;36929825440.41;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T13:34:00.000Z";"2023-08-12T00:13:00.000Z";239.7035625022;241.0026122047;239.4037738667;240.2736169342;284512148.64;36966826102.04;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T01:34:00.000Z";"2023-08-11T16:14:00.000Z";241.2607256209;241.9139173252;238.3598000052;239.7068963883;386856576.31;36879667898.93;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T02:18:00.000Z";"2023-08-10T19:34:00.000Z";243.8855401305;243.9260949128;240.3945929471;241.2624696955;365863689.57;37119032079.6;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T00:39:00.000Z";"2023-08-09T20:08:00.000Z";245.1363071007;245.3402726377;242.7664985138;243.8936438522;399576464.1;37523886294.12;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T18:28:00.000Z";"2023-08-08T02:04:00.000Z";241.7918765464;247.6473723774;241.3301998178;245.1498988782;504987527.74;37717205287.72;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T01:34:00.000Z";"2023-08-07T16:21:00.000Z";242.7916845607;244.3242472536;239.9353712231;241.7974947464;425652308.85;37201467454.42;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T09:06:00.000Z";"2023-08-06T23:55:00.000Z";242.9603036639;245.1790230293;242.6147311919;242.7985949794;417704184.9;37355531392.33;"2023-08-06T23:59:59.999Z"
