timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T00:29:00.000Z";"2023-08-31T21:02:00.000Z";4.1324664e-7;4.1363287e-7;4.0320392e-7;4.0482283e-7;24749253.61;385157229.05;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T01:08:00.000Z";"2023-08-30T20:49:00.000Z";4.1608068e-7;4.1697657e-7;4.1146303e-7;4.1325763e-7;25887106.31;393182281.3;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T17:35:00.000Z";"2023-08-29T00:00:00.000Z";4.0646119e-7;4.1737338e-7;4.0646119e-7;4.1608606e-7;20318943.57;395873312.43;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T05:06:00.000Z";"2023-08-28T22:57:00.000Z";4.1408011e-7;4.1488093e-7;4.05397e-7;4.0670011e-7;20061721.45;386943318.34;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T01:53:00.000Z";"2023-08-27T22:09:00.000Z";4.1566252e-7;4.1583716e-7;4.1254477e-7;4.1391434e-7;20939239.43;393807090.12;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T19:54:00.000Z";"2023-08-26T02:50:00.000Z";4.0863918e-7;4.1602017e-7;4.0820484e-7;4.1548221e-7;26167896.22;395298800.27;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:00:00.000Z";"2023-08-25T17:47:00.000Z";4.1638368e-7;4.1638368e-7;4.074519e-7;4.0858585e-7;16409952.52;388737453.15;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T01:00:00.000Z";"2023-08-24T21:51:00.000Z";4.2497652e-7;4.2557501e-7;4.140723e-7;4.1638467e-7;15681423.76;396157411.98;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T21:43:00.000Z";"2023-08-23T00:00:00.000Z";4.1188309e-7;4.2527735e-7;4.1188309e-7;4.249736e-7;22477778.81;404329107.52;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T04:36:00.000Z";"2023-08-22T22:13:00.000Z";4.1562755e-7;4.1662439e-7;4.0659663e-7;4.1186223e-7;23079975.07;391854666.26;"2023-08-22T23:59:59.999Z"
