timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T00:46:00.000Z";"2023-08-31T21:10:00.000Z";0.6286593796;0.6351123554;0.5851154443;0.5870610838;113687614.37;646542889.42;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T06:46:00.000Z";"2023-08-30T03:26:00.000Z";0.6206741533;0.640918303;0.6143429335;0.6286655723;134708390.21;692303095.05;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T18:16:00.000Z";"2023-08-29T10:40:00.000Z";0.5901296016;0.6291544804;0.5796213169;0.6206485076;115313040.82;683415732.22;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:20:00.000Z";"2023-08-28T09:52:00.000Z";0.5933720852;0.5944389791;0.5783179859;0.5901061842;79166089.54;649728746.01;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T14:34:00.000Z";"2023-08-27T01:46:00.000Z";0.5834782954;0.5958884948;0.5811049334;0.5933702655;77037638.69;653266452.11;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T15:05:00.000Z";"2023-08-26T18:49:00.000Z";0.5867714337;0.5888562904;0.5811359275;0.5834850888;65667618.61;642328215.16;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T22:09:00.000Z";"2023-08-25T05:05:00.000Z";0.585079223;0.5875949469;0.5724058954;0.586741663;87931284.06;645857673.67;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T05:12:00.000Z";"2023-08-24T20:58:00.000Z";0.5926159723;0.5942617909;0.576997002;0.5850539109;81941509.41;643944505.25;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:50:00.000Z";"2023-08-23T01:28:00.000Z";0.5763350949;0.5990487767;0.5760249177;0.5925907449;93857461.19;652183908.41;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:43:00.000Z";"2023-08-22T21:31:00.000Z";0.5809101911;0.5823453109;0.5584218007;0.5763022738;106537911.51;634202873.82;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T14:11:00.000Z";"2023-08-21T15:31:00.000Z";0.5850863761;0.5854915268;0.5704199248;0.5809351182;99906294.79;639246212.16;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T11:19:00.000Z";"2023-08-20T16:58:00.000Z";0.582256667;0.5929653827;0.5781371613;0.5850432529;96245858;643711350.11;"2023-08-20T23:59:59.999Z"
