timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T00:01:00.000Z";"2023-08-31T21:10:00.000Z";0.4617979731;0.4618044023;0.4361513685;0.4371940894;26330965.77;453020515.43;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:07:00.000Z";"2023-08-30T21:48:00.000Z";0.4765764922;0.4872884354;0.4586539577;0.4617545985;31666687.37;478470114.99;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T22:17:00.000Z";"2023-08-29T13:22:00.000Z";0.4550440999;0.4795142565;0.442177245;0.4764961753;27658349.61;493745336.87;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T23:29:00.000Z";"2023-08-28T07:43:00.000Z";0.4541954562;0.4561655786;0.440671389;0.4551103721;22458765.65;471585367.54;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T17:16:00.000Z";"2023-08-27T03:00:00.000Z";0.4495523112;0.4551796121;0.4470341154;0.4542635457;18309674.66;470707886.1;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T04:47:00.000Z";"2023-08-26T18:41:00.000Z";0.4503391633;0.4534432527;0.4468821104;0.4495613057;17177724.85;465835424.99;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:00:00.000Z";"2023-08-25T05:07:00.000Z";0.4552804641;0.4552804641;0.4452995271;0.4503590574;24023463.65;466662055.24;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:05:00.000Z";"2023-08-24T20:58:00.000Z";0.4655040277;0.4661986924;0.4498821699;0.4551641853;26715718.04;471641128.82;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T17:22:00.000Z";"2023-08-23T13:11:00.000Z";0.4562539142;0.4702195215;0.4527704075;0.4654617857;25951036.37;482311502.38;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T09:26:00.000Z";"2023-08-22T18:11:00.000Z";0.4594521853;0.4615350573;0.4408113414;0.4561641696;24589269.02;472677312.53;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T00:01:00.000Z";"2023-08-21T15:31:00.000Z";0.4674658766;0.4675061576;0.4492677944;0.4594594619;25105033.35;476091894.47;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T00:29:00.000Z";"2023-08-20T17:09:00.000Z";0.4641101511;0.476975062;0.4614868013;0.4674756995;26186758.65;484398319.8;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T23:31:00.000Z";"2023-08-19T07:53:00.000Z";0.4548101044;0.4643550408;0.4513354609;0.4641312708;20055171.49;480932822.83;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T20:40:00.000Z";"2023-08-18T03:18:00.000Z";0.4471136039;0.4583934387;0.4429710335;0.4549641952;26169445.87;471433899.1;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T06:03:00.000Z";"2023-08-17T21:46:00.000Z";0.485978904;0.4959336354;0.4037208902;0.4469964928;29777058.44;463177765.89;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:07:00.000Z";"2023-08-16T21:16:00.000Z";0.5214127304;0.5214973338;0.481656042;0.4859481355;23066854.47;503539458.06;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T01:16:00.000Z";"2023-08-15T19:11:00.000Z";0.5522521898;0.5535573085;0.51205251;0.5214359591;21812367.06;540311940.87;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T00:00:00.000Z";"2023-08-14T02:24:00.000Z";0.5583391221;0.5583391221;0.5477710067;0.5522261616;20901450.24;572216748.64;"2023-08-14T23:59:59.999Z"
