timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:59:00.000Z";"2023-08-31T21:16:00.000Z";104.9438710015;105.1257469995;100.9373810928;101.2726772902;14012355.32;262254509.84;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T21:19:00.000Z";"2023-08-30T14:59:00.000Z";105.2251092746;105.3092878563;104.5544961178;104.9512731203;11125501.54;271780557.46;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T20:31:00.000Z";"2023-08-29T13:42:00.000Z";100.7719155336;105.3751975641;99.9845079851;105.2319900017;15283614.79;272507498.53;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:22:00.000Z";"2023-08-28T08:25:00.000Z";101.5610944092;101.6427716476;100.4428559509;100.7783744317;12503277.81;260974469.09;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T14:51:00.000Z";"2023-08-27T00:06:00.000Z";100.8284690476;101.969917629;100.6542972982;101.5596631347;7218346.22;262997684.94;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T14:14:00.000Z";"2023-08-26T00:12:00.000Z";100.3634145744;101.3419251635;100.2833578464;100.8307844881;6855727.99;261110189.55;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:53:00.000Z";"2023-08-25T07:22:00.000Z";100.2189962313;100.6610720162;99.6374202651;100.3699264221;9010761.33;259916757.03;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T05:24:00.000Z";"2023-08-24T21:46:00.000Z";101.1316768357;101.3756306708;99.9749818364;100.2264689738;9866353.09;259545261.34;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:57:00.000Z";"2023-08-23T05:49:00.000Z";99.3193408609;101.5450203641;98.7276010638;101.1520854594;13021368.44;261942226.69;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T01:23:00.000Z";"2023-08-22T22:22:00.000Z";101.5877460245;101.6688785578;97.9402677388;99.3102341439;9202590.85;257172590.62;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T22:17:00.000Z";"2023-08-21T15:35:00.000Z";101.7236302761;102.1621635699;100.2167376534;101.5862174477;8403445.8;263066449.67;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T23:58:00.000Z";"2023-08-20T11:36:00.000Z";100.628450957;101.782251143;100.2305885243;101.7775878617;2615220.76;263562020.2;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T17:59:00.000Z";"2023-08-19T07:30:00.000Z";100.1209975464;101.184218214;99.9020317427;100.6258216039;2294357.26;260579420.12;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T00:32:00.000Z";"2023-08-18T17:28:00.000Z";101.7910243412;102.0032554045;99.6325644419;100.1144073003;1820131.29;259255067.78;"2023-08-18T23:59:59.999Z"
