timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T12:00:00.000Z";"2023-08-31T22:13:00.000Z";1.6263775786;1.644443902;1.5797907705;1.5971544532;1012523.72;229886140.06;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T06:37:00.000Z";"2023-08-30T16:16:00.000Z";1.6756016227;1.6835325254;1.6167132105;1.6259139793;867449.3;234025637.3;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:47:00.000Z";"2023-08-29T13:45:00.000Z";1.6350898492;1.6990560234;1.5933979221;1.6755080731;1346970.82;241163954.3;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:01:00.000Z";"2023-08-28T23:16:00.000Z";1.740631393;1.7413515381;1.633767169;1.6354153414;1008476.69;235393214.15;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T23:52:00.000Z";"2023-08-27T07:43:00.000Z";1.687765054;1.7393057816;1.6824635872;1.7346182199;806378.43;249671962.69;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T04:20:00.000Z";"2023-08-26T00:26:00.000Z";1.6213480823;1.7132652735;1.6128974887;1.6879625464;1242740.49;242956586.69;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T16:32:00.000Z";"2023-08-25T11:06:00.000Z";1.5592537426;1.6425941829;1.5115172142;1.6213686887;1847724.85;233371411.71;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T05:56:00.000Z";"2023-08-24T23:32:00.000Z";1.6168589944;1.6724463651;1.5498222556;1.559128253;1078239.17;224412845.75;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T03:50:00.000Z";"2023-08-23T13:40:00.000Z";1.6416034701;1.6892315033;1.5872865302;1.6168727019;1526392.7;232724282.66;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T02:19:00.000Z";"2023-08-22T22:12:00.000Z";1.7344680623;1.7784069367;1.605859355;1.6415717234;1745471.04;236279331.89;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T00:07:00.000Z";"2023-08-21T23:31:00.000Z";1.8257859828;1.8262743375;1.7311239493;1.7344274476;1146800.2;249644503.91;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T03:23:00.000Z";"2023-08-20T19:53:00.000Z";1.8528027376;1.858840673;1.8157300996;1.8255269473;938612.17;262756894.08;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T14:47:00.000Z";"2023-08-19T00:01:00.000Z";1.8114066587;1.8680519338;1.8070599686;1.8526392382;1344105.49;266659296.82;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T23:06:00.000Z";"2023-08-18T00:03:00.000Z";1.7586263945;1.8180543349;1.7549216409;1.8108972854;1680037.19;260651176.32;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T12:29:00.000Z";"2023-08-17T22:16:00.000Z";1.8418842956;1.8975113363;1.6706567237;1.7588127768;2973534.35;253154401.91;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T12:12:00.000Z";"2023-08-16T23:41:00.000Z";1.9258560191;1.9813431462;1.8411874849;1.8420031844;2758653.09;265128398.31;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T18:11:00.000Z";"2023-08-15T15:26:00.000Z";1.8270019512;2.0057173833;1.7961578094;1.9258234504;3603163.08;277193053.29;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T06:54:00.000Z";"2023-08-14T13:42:00.000Z";1.8483776909;1.8628204181;1.7999077057;1.827092881;1368015.47;262982286.47;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T10:19:00.000Z";"2023-08-13T06:30:00.000Z";1.8704090772;1.8891249079;1.8410084323;1.8484888518;998907.68;266061911.69;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T08:13:00.000Z";"2023-08-12T23:01:00.000Z";1.9244585434;1.9441960143;1.8581668102;1.8700336493;1475388;269162958.27;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T02:07:00.000Z";"2023-08-11T09:35:00.000Z";1.96913157;1.9920183664;1.8885559771;1.9243180847;1929264.49;276976378.75;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T00:11:00.000Z";"2023-08-10T20:42:00.000Z";2.0070922922;2.0106474068;1.9511682813;1.968637646;1413119.2;283355506.86;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T08:15:00.000Z";"2023-08-09T19:44:00.000Z";2.0706217623;2.0855977752;1.9882096586;2.0069426437;2000147.56;288868929.84;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T12:40:00.000Z";"2023-08-08T22:38:00.000Z";2.0967987779;2.1818760191;2.0587866019;2.0712493468;2498152.41;298124903.63;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T05:34:00.000Z";"2023-08-07T20:15:00.000Z";2.0759550158;2.2086468852;2.0650491658;2.098361971;3066290.87;302027354.34;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T19:20:00.000Z";"2023-08-06T10:49:00.000Z";2.030310543;2.136405402;1.9572952784;2.0754651448;2520296.9;298731703.77;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T18:54:00.000Z";"2023-08-05T05:46:00.000Z";2.0140614897;2.1203025392;1.9562993955;2.0302375253;3648018.9;292221874.45;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T22:31:00.000Z";"2023-08-04T11:50:00.000Z";1.9116153205;2.3043103712;1.8898982233;2.013976641;8293222.17;289881366.98;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T23:59:00.000Z";"2023-08-03T10:23:00.000Z";1.8172581773;1.9112960822;1.7835124575;1.9112960822;2303820.09;275102059.15;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T20:49:00.000Z";"2023-08-02T12:05:00.000Z";1.8184291872;1.8273314624;1.7448818576;1.8159046454;2688510.15;261371909.79;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T23:34:00.000Z";"2023-08-01T08:11:00.000Z";1.720511384;1.8246641875;1.6535650216;1.8185421066;3750859.45;261751532.29;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T23:50:00.000Z";"2023-07-31T00:09:00.000Z";1.550607034;1.7332189339;1.5502038998;1.7217466757;2767650.86;247819299.28;"2023-07-31T23:59:59.999Z"
"2023-07-30T00:00:00.000Z";"2023-07-30T23:59:59.999Z";"2023-07-30T02:32:00.000Z";"2023-07-30T20:27:00.000Z";1.5812316003;1.5976551451;1.5282287206;1.5501924188;1059911.52;223126668.05;"2023-07-30T23:59:59.999Z"
"2023-07-29T00:00:00.000Z";"2023-07-29T23:59:59.999Z";"2023-07-29T12:08:00.000Z";"2023-07-29T00:22:00.000Z";1.5621420938;1.6155998016;1.5569083644;1.5812585332;1554716.67;227598163.66;"2023-07-29T23:59:59.999Z"
"2023-07-28T00:00:00.000Z";"2023-07-28T23:59:59.999Z";"2023-07-28T20:56:00.000Z";"2023-07-28T05:49:00.000Z";1.5334439712;1.579226929;1.5043569476;1.5623369406;1994235.18;224874687.63;"2023-07-28T23:59:59.999Z"
"2023-07-27T00:00:00.000Z";"2023-07-27T23:59:59.999Z";"2023-07-27T07:52:00.000Z";"2023-07-27T21:07:00.000Z";1.5757120569;1.590752266;1.4989965581;1.5333920169;1716120.77;220708505.22;"2023-07-27T23:59:59.999Z"
"2023-07-26T00:00:00.000Z";"2023-07-26T23:59:59.999Z";"2023-07-26T20:53:00.000Z";"2023-07-26T00:26:00.000Z";1.4649341488;1.612432399;1.4614175077;1.5755974181;2172170.75;226783332.08;"2023-07-26T23:59:59.999Z"
