timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:49:00.000Z";"2023-08-31T17:05:00.000Z";3.4913071286;3.4930664348;3.316972659;3.3410155247;25245370.54;1477399600.89;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:03:00.000Z";"2023-08-30T15:07:00.000Z";3.6486914362;3.649848939;3.4651984845;3.4914090118;22612650.98;1543555368.86;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T16:55:00.000Z";"2023-08-29T10:40:00.000Z";3.4862004716;3.7356830181;3.4216128902;3.6488025773;33126956.52;1613131479.98;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T17:52:00.000Z";"2023-08-28T11:53:00.000Z";3.4879970153;3.5049309378;3.4373192588;3.4862184209;14508346.56;1541249613.71;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T09:16:00.000Z";"2023-08-27T21:58:00.000Z";3.5516362783;3.6458529241;3.4765134553;3.4882488619;16157653.22;1542118137.58;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T22:23:00.000Z";"2023-08-26T06:17:00.000Z";3.5100378644;3.5670847195;3.4988993967;3.5514654797;9139449.18;1570059571.49;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:06:00.000Z";"2023-08-25T16:10:00.000Z";3.6003915172;3.600627224;3.4673176869;3.5101149612;16614482.5;1551766082.28;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T21:55:00.000Z";"2023-08-24T16:02:00.000Z";3.6013037551;3.6948410612;3.5191692069;3.6006961597;22416063.45;1590369215.92;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T22:40:00.000Z";"2023-08-23T13:17:00.000Z";3.4234967977;3.6291638918;3.3735199493;3.6012318285;29967206.21;1590603243.35;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T09:49:00.000Z";"2023-08-22T21:29:00.000Z";3.4898187709;3.5212769974;3.277027878;3.4236996024;20764911.78;1512180490.59;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:09:00.000Z";"2023-08-21T16:03:00.000Z";3.5843138205;3.6014526417;3.4479211967;3.4903316873;15289959.66;1541599374.14;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T20:46:00.000Z";"2023-08-20T15:12:00.000Z";3.5576966811;3.6009669314;3.5257811283;3.5843796191;11966751.62;1583094053.19;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T17:07:00.000Z";"2023-08-19T07:15:00.000Z";3.504771268;3.5625222006;3.4744173799;3.5574040643;12318995.79;1571114902.5;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T11:54:00.000Z";"2023-08-18T01:17:00.000Z";3.4122250428;3.5290905429;3.3947605214;3.5047795244;23931109.02;1547786818.23;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T09:41:00.000Z";"2023-08-17T21:46:00.000Z";3.6990460549;3.8161274789;3.2424055122;3.4118815188;44193735.09;1506750474.55;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T01:50:00.000Z";"2023-08-16T21:16:00.000Z";3.8286799465;3.8465076559;3.6024645227;3.6989233008;26052097.51;1633273930.31;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T02:47:00.000Z";"2023-08-15T19:10:00.000Z";4.0544713638;4.0764017055;3.6118424883;3.8285835168;30438964.62;1690514974.24;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T11:34:00.000Z";"2023-08-14T02:22:00.000Z";4.0315089904;4.1215801437;4.0200653932;4.0543457434;22015362.03;1790183895.25;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T07:31:00.000Z";"2023-08-13T23:19:00.000Z";4.0469634875;4.0837919241;4.0291224721;4.0311826608;13922792.58;1777591511;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T23:31:00.000Z";"2023-08-12T19:56:00.000Z";4.0293147526;4.0584423209;4.0221884053;4.0467464541;11304625.71;1784452871.72;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T07:02:00.000Z";"2023-08-11T02:52:00.000Z";4.0247109939;4.0446827209;4.0053851274;4.0290151517;12497906.91;1776630772.29;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T02:33:00.000Z";"2023-08-10T15:17:00.000Z";4.0801533588;4.1011836714;4.0142331245;4.0246153163;18309216.46;1774681220.27;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T13:02:00.000Z";"2023-08-09T21:17:00.000Z";4.1081060872;4.1371061372;4.0448455143;4.0804770001;18499078.66;1799286288.47;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T18:26:00.000Z";"2023-08-08T02:15:00.000Z";4.0946421522;4.166362874;4.0562797285;4.1080407748;21926106.92;1811437684.34;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T01:34:00.000Z";"2023-08-07T16:19:00.000Z";4.1177715981;4.1620303499;4.0250653202;4.0948065375;21039563.66;1805407804.97;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T22:19:00.000Z";"2023-08-06T02:01:00.000Z";4.0150229463;4.1275448337;4.0113050293;4.117515112;13945330.46;1815081240.78;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T11:16:00.000Z";"2023-08-05T21:09:00.000Z";4.0304531917;4.0406975859;4.0078091241;4.0148733809;11025532.8;1769816458.13;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T13:53:00.000Z";"2023-08-04T20:52:00.000Z";4.0374849587;4.071303798;3.9782957528;4.0303861037;13969481.61;1776641406.07;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T02:04:00.000Z";"2023-08-03T22:21:00.000Z";4.1379278892;4.1602471859;4.0210209835;4.0376180905;14755968.8;1773901057.98;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T01:35:00.000Z";"2023-08-02T14:47:00.000Z";4.2443426562;4.2760044302;4.1143779754;4.1379500301;17965881.59;1817989026.48;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T23:59:00.000Z";"2023-08-01T06:52:00.000Z";4.2109073329;4.2444995329;4.1112398752;4.2444995329;21092955.5;1864527136.83;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T00:54:00.000Z";"2023-07-31T21:48:00.000Z";4.2710845113;4.2873084854;4.1781470599;4.2104854905;16527138.68;1849451405.91;"2023-07-31T23:59:59.999Z"
"2023-07-30T00:00:00.000Z";"2023-07-30T23:59:59.999Z";"2023-07-30T02:40:00.000Z";"2023-07-30T20:04:00.000Z";4.3343287335;4.3643162154;4.2160724179;4.2712589664;15482375.28;1876130595.37;"2023-07-30T23:59:59.999Z"
"2023-07-29T00:00:00.000Z";"2023-07-29T23:59:59.999Z";"2023-07-29T00:51:00.000Z";"2023-07-29T11:07:00.000Z";4.3139232277;4.381571322;4.2839723564;4.3342092632;12607179.74;1903752983.18;"2023-07-29T23:59:59.999Z"
"2023-07-28T00:00:00.000Z";"2023-07-28T23:59:59.999Z";"2023-07-28T17:19:00.000Z";"2023-07-28T05:46:00.000Z";4.2203668239;4.3535777748;4.1967554291;4.3141492443;27698249.8;1894927100.04;"2023-07-28T23:59:59.999Z"
"2023-07-27T00:00:00.000Z";"2023-07-27T23:59:59.999Z";"2023-07-27T23:49:00.000Z";"2023-07-27T18:41:00.000Z";4.0871062599;4.2298589981;4.0652566441;4.2210034459;22474574.25;1854009854.97;"2023-07-27T23:59:59.999Z"
"2023-07-26T00:00:00.000Z";"2023-07-26T23:59:59.999Z";"2023-07-26T21:22:00.000Z";"2023-07-26T01:37:00.000Z";4.0186724364;4.1224235781;3.9900565541;4.0862275587;16560032.67;1794700295.91;"2023-07-26T23:59:59.999Z"
"2023-07-25T00:00:00.000Z";"2023-07-25T23:59:59.999Z";"2023-07-25T18:41:00.000Z";"2023-07-25T01:16:00.000Z";4.0123230438;4.0727128028;3.9832393553;4.0186937264;14822917;1765029295.49;"2023-07-25T23:59:59.999Z"
"2023-07-24T00:00:00.000Z";"2023-07-24T23:59:59.999Z";"2023-07-24T00:18:00.000Z";"2023-07-24T20:48:00.000Z";4.2126004216;4.2205714866;3.9540368171;4.0121156926;24235665.18;1762134435.88;"2023-07-24T23:59:59.999Z"
"2023-07-23T00:00:00.000Z";"2023-07-23T23:59:59.999Z";"2023-07-23T04:17:00.000Z";"2023-07-23T00:00:00.000Z";4.1261760419;4.3234513265;4.1261760419;4.2129081946;28673500.45;1850159635.1;"2023-07-23T23:59:59.999Z"
"2023-07-22T00:00:00.000Z";"2023-07-22T23:59:59.999Z";"2023-07-22T22:59:00.000Z";"2023-07-22T00:04:00.000Z";4.064953377;4.1663585312;4.0646400767;4.1241113212;13466799.73;1811113915.22;"2023-07-22T23:59:59.999Z"
"2023-07-21T00:00:00.000Z";"2023-07-21T23:59:59.999Z";"2023-07-21T07:04:00.000Z";"2023-07-21T00:41:00.000Z";4.0442040232;4.1275001442;4.0238060418;4.0648484167;14299114.22;1785076092.4;"2023-07-21T23:59:59.999Z"
"2023-07-20T00:00:00.000Z";"2023-07-20T23:59:59.999Z";"2023-07-20T07:22:00.000Z";"2023-07-20T20:37:00.000Z";4.0643808336;4.1195732642;4.0099595336;4.0440959044;20473555.62;1775942743.26;"2023-07-20T23:59:59.999Z"
"2023-07-19T00:00:00.000Z";"2023-07-19T23:59:59.999Z";"2023-07-19T04:11:00.000Z";"2023-07-19T14:49:00.000Z";4.0729799059;4.1443284723;4.0425205906;4.0642652045;17053784.1;1784316390.83;"2023-07-19T23:59:59.999Z"
"2023-07-18T00:00:00.000Z";"2023-07-18T23:59:59.999Z";"2023-07-18T02:09:00.000Z";"2023-07-18T12:22:00.000Z";4.1004613867;4.1156672278;3.9709192607;4.0729838994;19204880.73;1787939801.11;"2023-07-18T23:59:59.999Z"
"2023-07-17T00:00:00.000Z";"2023-07-17T23:59:59.999Z";"2023-07-17T06:34:00.000Z";"2023-07-17T10:26:00.000Z";4.0868067134;4.154766201;4.0103336913;4.10073765;20509226.86;1800031345.08;"2023-07-17T23:59:59.999Z"
"2023-07-16T00:00:00.000Z";"2023-07-16T23:59:59.999Z";"2023-07-16T00:11:00.000Z";"2023-07-16T20:28:00.000Z";4.2050574897;4.2212098638;4.0737872516;4.0864419923;13512864.81;1793745088.89;"2023-07-16T23:59:59.999Z"
"2023-07-15T00:00:00.000Z";"2023-07-15T23:59:59.999Z";"2023-07-15T10:22:00.000Z";"2023-07-15T16:37:00.000Z";4.2526140878;4.2815687558;4.1469791879;4.205571992;13364735.02;1846033276.69;"2023-07-15T23:59:59.999Z"
"2023-07-14T00:00:00.000Z";"2023-07-14T23:59:59.999Z";"2023-07-14T16:07:00.000Z";"2023-07-14T20:35:00.000Z";4.3829893746;4.5056098677;4.1339132121;4.2532677451;31494057.37;1864491721.68;"2023-07-14T23:59:59.999Z"
"2023-07-13T00:00:00.000Z";"2023-07-13T23:59:59.999Z";"2023-07-13T17:42:00.000Z";"2023-07-13T05:11:00.000Z";4.1257505521;4.3904499799;4.1030699187;4.3832707163;27847498.65;1921482267.66;"2023-07-13T23:59:59.999Z"
"2023-07-12T00:00:00.000Z";"2023-07-12T23:59:59.999Z";"2023-07-12T08:22:00.000Z";"2023-07-12T19:44:00.000Z";4.1166002962;4.2208808202;4.0639271108;4.1260804498;15089436.65;1806349648.16;"2023-07-12T23:59:59.999Z"
"2023-07-11T00:00:00.000Z";"2023-07-11T23:59:59.999Z";"2023-07-11T10:50:00.000Z";"2023-07-11T00:52:00.000Z";4.0784704641;4.1666026965;4.0469830181;4.1166082893;11587527.54;1802166214.72;"2023-07-11T23:59:59.999Z"
"2023-07-10T00:00:00.000Z";"2023-07-10T23:59:59.999Z";"2023-07-10T20:04:00.000Z";"2023-07-10T00:25:00.000Z";4.0328573318;4.1739157483;3.943109068;4.0786509421;14670505.18;1785546955.66;"2023-07-10T23:59:59.999Z"
