timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T00:00:00.000Z";"2023-08-31T17:04:00.000Z";4.362590525;4.362590525;4.0507852834;4.1069984423;1121194.61;397282224.57;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:17:00.000Z";"2023-08-30T18:31:00.000Z";4.5215232542;4.5357185105;4.3495047579;4.3625934515;1034387.31;422006693.13;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T23:53:00.000Z";"2023-08-29T13:05:00.000Z";4.3640066839;4.5298084543;4.237195736;4.528439321;1949667.72;438049459.38;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:20:00.000Z";"2023-08-28T21:14:00.000Z";4.4638486568;4.4674046225;4.3429162918;4.3629019223;955216.19;422036532.43;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T00:08:00.000Z";"2023-08-27T09:18:00.000Z";4.5145860295;4.5155623513;4.4516881433;4.4644020697;812052.05;431854944.81;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T01:24:00.000Z";"2023-08-26T23:19:00.000Z";4.5537405575;4.5620461902;4.5107604178;4.5162151735;691730.36;436866981.08;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:03:00.000Z";"2023-08-25T07:37:00.000Z";4.7368846317;4.7386826476;4.4800828579;4.5538072427;1545478.38;440503374.2;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T07:20:00.000Z";"2023-08-24T20:48:00.000Z";4.9023277728;4.9197339772;4.7343979693;4.7368846317;1197277.99;458212996.79;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T23:37:00.000Z";"2023-08-23T13:17:00.000Z";4.8248437013;4.914559131;4.7883142328;4.9019352252;1277580.06;474178833.6;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T01:34:00.000Z";"2023-08-22T21:28:00.000Z";4.8612710277;4.8662436564;4.7658843133;4.8243048417;1236975.71;466669414.77;"2023-08-22T23:59:59.999Z"
