timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T12:57:00.000Z";"2023-08-31T22:14:00.000Z";1.9956059654;2.0240140387;1.9234289702;1.928386385;43897748.1;519681901.34;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:55:00.000Z";"2023-08-30T23:59:00.000Z";2.0609516351;2.0848994124;1.9955718439;1.9955718439;31366413.98;537270951.54;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:46:00.000Z";"2023-08-29T10:40:00.000Z";2.0809471586;2.1370824864;2.0374812599;2.0609682697;45715402.91;554877897.44;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T12:36:00.000Z";"2023-08-28T21:46:00.000Z";2.1079400707;2.1395967854;2.0794775168;2.0810284287;23323525.55;560049205.46;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T16:44:00.000Z";"2023-08-27T00:00:00.000Z";2.0714635355;2.1489104328;2.0714635355;2.1079373851;21101866.7;567290980.46;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T15:06:00.000Z";"2023-08-26T00:55:00.000Z";2.0624219132;2.0828305954;2.0521095393;2.0715929957;14078802.77;557509928.89;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:22:00.000Z";"2023-08-25T17:49:00.000Z";2.0744321392;2.0753221521;2.0201735666;2.0623577555;32694877.37;555024528.46;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T07:25:00.000Z";"2023-08-24T21:00:00.000Z";2.1384073241;2.1478869184;2.0468532971;2.0744441025;26242380.14;558276703;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T18:01:00.000Z";"2023-08-23T00:00:00.000Z";2.0676209536;2.233754467;2.0676209536;2.1382769289;32618169.04;575173225.58;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T06:59:00.000Z";"2023-08-22T21:41:00.000Z";2.0947756458;2.1148597528;2.0095907579;2.0677155229;24249224.22;556153982.63;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T03:09:00.000Z";"2023-08-21T11:13:00.000Z";2.1490669096;2.1509291043;2.0848826575;2.0949232889;29950188.57;563439081.9;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T08:03:00.000Z";"2023-08-20T23:18:00.000Z";2.2404415164;2.2589991969;2.1461653526;2.1490982604;23446845.6;577998886.52;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T17:06:00.000Z";"2023-08-19T07:12:00.000Z";2.1816277394;2.245445481;2.1718826257;2.2405523377;17961041.91;602595414.2;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T22:17:00.000Z";"2023-08-18T03:16:00.000Z";2.0858505893;2.1874011552;2.057426584;2.1814758294;29951650.14;586705926.84;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T02:32:00.000Z";"2023-08-17T21:47:00.000Z";2.3092038328;2.345387772;1.990847833;2.0868591324;47872075.27;561037529.97;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T17:32:00.000Z";"2023-08-16T21:16:00.000Z";2.3469426994;2.3762341564;2.2788091589;2.3093084017;33796721.15;620505166.51;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T10:11:00.000Z";"2023-08-15T19:11:00.000Z";2.485832875;2.5062302986;2.3276614273;2.3469032318;40990595.34;630606781.66;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T16:30:00.000Z";"2023-08-14T19:15:00.000Z";2.5000584347;2.536278467;2.4679084371;2.4856693061;28218970.38;667744289.91;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T00:03:00.000Z";"2023-08-13T16:56:00.000Z";2.5443587528;2.5457430257;2.4833279509;2.5001998708;24866341.95;671646578.96;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T16:37:00.000Z";"2023-08-12T04:13:00.000Z";2.5426710379;2.5608166119;2.5218226888;2.5437714579;24198777.69;683351021;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T05:55:00.000Z";"2023-08-11T19:18:00.000Z";2.5805001986;2.5979232687;2.5270384251;2.5425460541;32176264.28;682870062.82;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T10:11:00.000Z";"2023-08-10T23:25:00.000Z";2.5945407735;2.6505822693;2.5631764294;2.5805405613;40430108.09;692707459.6;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T10:51:00.000Z";"2023-08-09T01:05:00.000Z";2.5794086115;2.6331752401;2.5711214833;2.5944333636;37307394.33;696007216.05;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T18:23:00.000Z";"2023-08-08T09:57:00.000Z";2.5196297524;2.6113610146;2.4393276895;2.5789288436;46519614;691847826.97;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T04:31:00.000Z";"2023-08-07T16:20:00.000Z";2.5433019704;2.6282507127;2.4808464815;2.5199046244;41150651.66;676013432.04;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T06:05:00.000Z";"2023-08-06T16:12:00.000Z";2.540158111;2.5929997122;2.5317649321;2.5428977647;39785565.55;682181789.18;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T16:41:00.000Z";"2023-08-05T04:49:00.000Z";2.5018991249;2.5408152296;2.4651010141;2.5400648315;40797639.59;681400804.36;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T16:59:00.000Z";"2023-08-04T07:05:00.000Z";2.4079884454;2.5495353511;2.3704124846;2.502839037;71403159.06;671388335.54;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T00:50:00.000Z";"2023-08-03T14:34:00.000Z";2.4781691207;2.4917726237;2.4014772569;2.4081819229;62074855.79;645952395.67;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T13:50:00.000Z";"2023-08-02T08:21:00.000Z";2.4853429647;2.6037447481;2.4263904783;2.477835227;66840210.21;664296883.89;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T01:09:00.000Z";"2023-08-01T14:36:00.000Z";2.5650388885;2.5717476323;2.3840689046;2.4843809917;68290102.13;666051535.24;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T01:01:00.000Z";"2023-07-31T20:07:00.000Z";2.718501937;2.7885932531;2.5370745915;2.5647082648;54646982.66;687586574.11;"2023-07-31T23:59:59.999Z"
