timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:49:00.000Z";"2023-08-31T21:10:00.000Z";1.5380241606;1.5750744318;1.4751277156;1.4990539002;45611916.85;510432264.75;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:28:00.000Z";"2023-08-30T15:07:00.000Z";1.6131672627;1.6380631418;1.5197492194;1.5380693137;54516625.73;523712724.35;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T22:21:00.000Z";"2023-08-29T00:31:00.000Z";1.4509676667;1.6188793385;1.4495244247;1.6131095234;90956723.92;549224508.65;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:49:00.000Z";"2023-08-28T07:47:00.000Z";1.4650384466;1.4774277319;1.4094883746;1.4510206052;42867395.42;494005798.15;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T15:04:00.000Z";"2023-08-27T00:02:00.000Z";1.3973679746;1.4898561803;1.3969129876;1.4644590673;72648711.25;498570082.48;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T00:06:00.000Z";"2023-08-26T19:03:00.000Z";1.4808417894;1.4819628044;1.3752584019;1.397411751;48516506.46;475716157.74;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T10:46:00.000Z";"2023-08-25T03:31:00.000Z";1.4969173007;1.5660230039;1.4614154598;1.480671019;78363548.78;504043588.86;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T03:37:00.000Z";"2023-08-24T15:57:00.000Z";1.5968883692;1.6210004814;1.481144147;1.4968168823;52540695.25;509523699.37;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T16:26:00.000Z";"2023-08-23T00:37:00.000Z";1.5669117379;1.6678417292;1.559030848;1.5968367853;83856896.91;543543870.51;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T02:10:00.000Z";"2023-08-22T22:16:00.000Z";1.7371836317;1.7779980362;1.5374656388;1.5667383216;109770563.61;533301369.5;"2023-08-22T23:59:59.999Z"
