timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T13:07:00.000Z";"2023-08-31T20:37:00.000Z";150.8573232196;154.3749475229;130.2264707884;137.7433398679;11894117.51;137743339.87;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T08:38:00.000Z";"2023-08-30T04:36:00.000Z";149.7791290795;164.5831254266;148.1836230466;150.8449513547;13735299.21;150844951.36;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T15:49:00.000Z";"2023-08-29T00:00:00.000Z";138.804213799;160.1623208073;138.804213799;149.8086993771;11238814.51;149808699.38;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T11:07:00.000Z";"2023-08-28T20:50:00.000Z";140.0845874757;154.8538100307;125.8791530316;138.7502920988;10703091.11;138750292.1;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T11:42:00.000Z";"2023-08-27T22:07:00.000Z";140.165639148;150.0430316218;136.5686849664;140.1418905791;11738451.44;140141890.58;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T17:45:00.000Z";"2023-08-26T00:15:00.000Z";119.0301525703;151.0479076739;118.4625188532;140.0860149614;13121432.78;140086014.97;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T11:32:00.000Z";"2023-08-25T01:19:00.000Z";115.2211003041;127.2147611245;110.7577467466;119.1394513546;13371929.55;119139451.36;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T07:16:00.000Z";"2023-08-24T23:16:00.000Z";129.6819130088;131.4170320887;112.1508578615;115.2083570873;15226749.55;115208357.09;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T10:05:00.000Z";"2023-08-23T00:02:00.000Z";124.1045130241;140.3478926435;123.5040986375;129.6181875752;14387613.4;129618187.58;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:16:00.000Z";"2023-08-22T21:52:00.000Z";151.9317721117;153.1263167298;118.7505077405;124.1080087819;17658386.05;124108008.79;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T17:01:00.000Z";"2023-08-21T03:35:00.000Z";142.4725641248;154.1550591762;141.3518023536;151.9373152736;15685227.04;151937315.28;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T00:29:00.000Z";"2023-08-20T20:01:00.000Z";154.5534225839;155.5092064143;135.1976700867;142.4684514205;14975448.88;142468451.43;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T02:54:00.000Z";"2023-08-19T20:29:00.000Z";158.4022973043;169.2418874077;146.1076527344;154.578182523;10262066.24;154578182.53;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T00:10:00.000Z";"2023-08-18T22:58:00.000Z";186.1712427174;188.0296703451;156.7901465857;158.3408631445;13319884.19;158340863.15;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T11:28:00.000Z";"2023-08-17T22:02:00.000Z";190.443187879;202.0872349809;165.8308150007;186.0531027434;12310938.75;186053102.75;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T09:57:00.000Z";"2023-08-16T22:05:00.000Z";194.0056936269;236.4336503069;180.3166764937;190.6774814243;13791253.66;190677481.43;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T14:45:00.000Z";"2023-08-15T04:06:00.000Z";186.627028925;209.6895409657;181.5883064052;194.0124770636;13059198.68;194012477.07;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T19:25:00.000Z";"2023-08-14T00:56:00.000Z";168.7877115803;189.8479808389;166.1304493564;186.6477030378;13987802.92;186647703.04;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T00:07:00.000Z";"2023-08-13T22:34:00.000Z";188.7716300593;189.0103188753;165.4202204654;168.8121897971;11682915.26;168812189.8;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T06:34:00.000Z";"2023-08-12T12:16:00.000Z";192.5554233455;193.6581090414;186.3947096874;188.7332756465;11915397.88;188733275.65;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T19:08:00.000Z";"2023-08-11T09:29:00.000Z";185.0464394647;198.3984025522;167.9161664218;192.5692250044;15273002.34;192569225.01;"2023-08-11T23:59:59.999Z"
