timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:49:00.000Z";"2023-08-31T21:10:00.000Z";4.6456610335;4.6718456646;4.3435400794;4.3672629311;93027684.77;2522098845.38;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:05:00.000Z";"2023-08-30T21:46:00.000Z";4.8019571491;4.8051539328;4.6454232937;4.6455590541;79083635.46;2682815143.3;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:46:00.000Z";"2023-08-29T12:25:00.000Z";4.6747020632;4.8549344498;4.5761052448;4.802124578;94064007.4;2773231894.81;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T12:37:00.000Z";"2023-08-28T09:54:00.000Z";4.6828106754;4.7183731057;4.5840948017;4.674886786;69300651.16;2699751938.71;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T23:09:00.000Z";"2023-08-27T00:01:00.000Z";4.6016358633;4.6992264273;4.6014277176;4.6828097195;62521930.34;2704327441.01;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T22:10:00.000Z";"2023-08-26T00:43:00.000Z";4.5498568062;4.6377372794;4.5363195197;4.6014261921;58586190.2;2657328370.03;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T02:47:00.000Z";"2023-08-25T17:49:00.000Z";4.6527493398;4.6645788265;4.5300184837;4.5498237506;87112537.96;2627527906.85;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T05:36:00.000Z";"2023-08-24T20:58:00.000Z";4.7622552159;4.8092458811;4.6164930354;4.6524627732;90443738.16;2686802048.23;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T16:58:00.000Z";"2023-08-23T05:35:00.000Z";4.6703474149;4.8463893987;4.6600777243;4.7620237737;117298283.74;2750073638.94;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:50:00.000Z";"2023-08-22T21:29:00.000Z";4.7748052684;4.7800386921;4.5515954988;4.6701790558;109638302.26;2697033219.69;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:10:00.000Z";"2023-08-21T16:16:00.000Z";4.9050663005;4.9140159991;4.7561552965;4.7751719025;80148832.35;2757666696.88;"2023-08-21T23:59:59.999Z"
