timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T18:28:00.000Z";"2023-08-31T02:39:00.000Z";2.1316347315;2.263054206;2.1129304372;2.2098380019;86674580.08;345300831.34;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:13:00.000Z";"2023-08-30T16:40:00.000Z";2.1760251555;2.180703752;2.0898491744;2.1315279013;47683816.19;333064394.64;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:47:00.000Z";"2023-08-29T04:16:00.000Z";2.1436387806;2.2785979483;2.1098979369;2.1758983848;88393387.79;339997556.63;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:19:00.000Z";"2023-08-28T18:10:00.000Z";2.2138432197;2.2344574241;2.1182189263;2.143499067;64113765.32;334934963.19;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T16:25:00.000Z";"2023-08-27T03:10:00.000Z";2.0859867025;2.238018419;2.0751905911;2.2138737354;54600746.64;345931439.62;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T04:46:00.000Z";"2023-08-26T20:04:00.000Z";2.1674704398;2.2041767517;2.071160604;2.0860743518;45704644.42;325961996.9;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T19:11:00.000Z";"2023-08-25T04:55:00.000Z";2.1737059591;2.1849727523;2.1068221506;2.1673971872;55680344.64;338669192.01;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T16:54:00.000Z";"2023-08-24T17:39:00.000Z";2.1504564982;2.1990535844;2.0936433311;2.173738762;78372175.34;339660102.24;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T23:13:00.000Z";"2023-08-23T01:34:00.000Z";1.9549747947;2.1653844596;1.9467371559;2.1503993526;66025149.21;336013175.41;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T23:20:00.000Z";"2023-08-22T21:30:00.000Z";1.9348432139;1.9581129787;1.8725554105;1.9549707186;40783739.32;305476244.77;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T21:56:00.000Z";"2023-08-21T15:31:00.000Z";1.9209531714;1.9461610924;1.9011030574;1.934896366;34265693.74;302339503.24;"2023-08-21T23:59:59.999Z"
