timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:51:00.000Z";"2023-08-31T17:09:00.000Z";5653.5095594986;5679.3383867369;5421.4634686521;5520.9621490579;28083284.62;182421644.59;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T13:25:00.000Z";"2023-08-30T23:23:00.000Z";5723.5990364274;5795.7911682663;5628.5913901662;5653.3647046422;23302031.64;186796442.19;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:47:00.000Z";"2023-08-29T12:25:00.000Z";5707.68911661;5825.8657806101;5494.9531039206;5723.6175133852;30283937.66;189117710.21;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:03:00.000Z";"2023-08-28T09:53:00.000Z";5809.5025268866;5815.907838074;5684.0802838621;5707.541963877;19266833;188586547.69;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T19:52:00.000Z";"2023-08-27T00:03:00.000Z";5579.4876444754;5883.0469790574;5578.7353323557;5809.4387179516;24575967.36;191953383.57;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T01:22:00.000Z";"2023-08-26T23:43:00.000Z";5744.4156477969;5769.2007074786;5578.8081652042;5579.4497505116;20905745.83;184354170.87;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T16:37:00.000Z";"2023-08-25T04:56:00.000Z";5655.3057964956;5764.7188081903;5534.4817865601;5743.3057786894;32477076.44;189768242.79;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T07:10:00.000Z";"2023-08-24T20:58:00.000Z";5672.0064669132;5737.5606274031;5583.3749096776;5655.5119043711;23285050.49;186867389.19;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T20:28:00.000Z";"2023-08-23T13:15:00.000Z";5551.6870966338;5709.8973613888;5463.4224665137;5671.884058475;28573185.74;187408352.01;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T07:54:00.000Z";"2023-08-22T21:40:00.000Z";5584.3075625769;5625.3041041041;5409.279348145;5551.0468841152;25040980.85;183415693.58;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:07:00.000Z";"2023-08-21T16:18:00.000Z";5697.0467403457;5719.3838889044;5494.1121895564;5584.6930307046;27120964.69;184534043.75;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T23:43:00.000Z";"2023-08-20T17:07:00.000Z";5640.4789287153;5708.9764550178;5559.7583267603;5697.0568665169;22245072.76;188246862.5;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T09:50:00.000Z";"2023-08-19T00:04:00.000Z";5474.7427360019;5747.2161778189;5471.1247214928;5640.3062357581;27474408.21;186371661.24;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T23:12:00.000Z";"2023-08-18T00:02:00.000Z";5361.0948890677;5503.9369026528;5351.7081174947;5474.8679359938;32652313.69;180913323.94;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T06:02:00.000Z";"2023-08-17T21:46:00.000Z";5736.7720553175;5802.7831332484;4988.8861418762;5360.6365732055;37783017.94;177138625.49;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T04:11:00.000Z";"2023-08-16T21:58:00.000Z";5925.7364181477;5983.0818847541;5618.9982804758;5736.8285510489;27200082.61;189569636.05;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T00:00:00.000Z";"2023-08-15T19:16:00.000Z";6269.6566506361;6269.6566506361;5854.5086349005;5925.7455340229;31854968.54;195812270.53;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T15:48:00.000Z";"2023-08-14T02:22:00.000Z";6240.0398430802;6340.5284748837;6192.1724087151;6269.7866928151;20565352.35;207119364.52;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T20:06:00.000Z";"2023-08-13T22:45:00.000Z";6314.774568674;6324.5499675143;6227.0465661219;6240.0815097793;17400093.05;206138068.19;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T23:58:00.000Z";"2023-08-12T18:20:00.000Z";6293.7337408904;6314.8871602104;6266.3275424127;6314.8868520728;17127665.97;208617781.02;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T06:45:00.000Z";"2023-08-11T17:11:00.000Z";6348.1666506646;6372.0588707079;6266.8472519976;6294.1350954765;16200491.17;207932228.69;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T22:37:00.000Z";"2023-08-10T07:04:00.000Z";6334.2099464018;6369.0112465722;6256.3258581652;6348.0479262315;21898337.68;209713285.96;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T02:04:00.000Z";"2023-08-09T21:17:00.000Z";6454.9620633765;6471.7774079534;6248.9485836363;6333.7696417174;24877781.52;209241590.4;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T18:26:00.000Z";"2023-08-08T10:05:00.000Z";6391.4961752313;6514.8518067758;6322.4597200603;6455.7092049871;23063495.52;213277607.82;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T12:57:00.000Z";"2023-08-07T16:20:00.000Z";6403.3252179498;6501.7946862451;6305.8113454843;6390.9785043566;23553074.84;211139096.22;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T21:24:00.000Z";"2023-08-06T00:08:00.000Z";6269.2741467515;6473.8186421468;6261.3601285195;6403.0975891137;21688724.6;211539475.07;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T23:57:00.000Z";"2023-08-05T02:04:00.000Z";6198.5878495692;6269.6268593753;6139.6364354749;6268.9025787894;16789283.61;207106067.39;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T13:04:00.000Z";"2023-08-04T20:52:00.000Z";6334.8033787301;6446.9440967268;6127.9318692196;6198.5368715029;33248958.22;204744200.56;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T01:59:00.000Z";"2023-08-03T22:32:00.000Z";6424.9144291505;6485.36920271;6320.8304386276;6335.0344039437;22309129.54;209259102.81;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T01:49:00.000Z";"2023-08-02T18:40:00.000Z";6785.8715038118;6827.753022398;6404.7729980438;6424.7099287797;30469850.28;212208913.03;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T23:59:00.000Z";"2023-08-01T02:13:00.000Z";6715.2332721317;6786.2970145023;6572.2502529522;6786.2970145023;24849569.73;224152176.34;"2023-08-01T23:59:59.999Z"
